27396913
/m/0c01yb_
/m/0c01yb_
Jim Butcher
2011-07-26
{"/m/02n4kr": "Mystery", "/m/01hmnh": "Fantasy"}
3 1
a 25
abducted 1
able 1
about 2
absence 2
acquainted 1
action 1
actions 1
active 1
acts 1
adept 1
adopted 1
after 4
aftermath 1
age 1
agrees 1
aid 4
aided 1
alive 2
all 1
allowed 2
allowing 1
along 1
alphas 1
also 1
although 2
america 1
an 2
and 51
angel 2
angels 1
angry 1
ankle 1
annoyed 1
another 1
answer 1
appears 1
apprentice 1
approving 1
are 4
aristedes 3
army 2
around 1
arrives 1
as 6
asked 1
asking 1
asks 2
assault 2
assaulting 1
assaults 1
at 2
attacked 1
attackers 2
awakens 1
away 2
back 1
backfired 1
balance 1
battery 1
battle 1
be 4
become 1
becomes 1
becoming 2
been 2
before 2
behind 1
being 5
bitter 1
bob 4
bobs 1
body 2
breaking 1
breaks 1
bright 1
broken 1
brother 1
brutal 1
but 5
butters 5
by 13
called 1
calling 1
can 5
cannot 1
captain 2
captured 1
care 1
carmichael 1
carpenter 1
carpenters 1
casting 1
caught 1
change 1
changes 2
chicago 1
choice 2
church 1
city 1
come 1
comes 2
comforting 1
coming 1
confirmation 1
confirms 1
confront 1
confronting 1
confronts 2
congratulating 1
consumes 1
contacted 1
contacts 1
contained 1
contract 1
control 2
convinces 2
corpsetaker 8
corpsetakers 3
corrupted 1
couldnt 1
court 2
create 1
creature 2
creatures 1
crushed 1
daniel 1
darkness 1
daughter 2
dearly 1
death 2
defense 1
defiance 1
demonreach 1
department 1
despair 2
destroyed 3
destroys 1
devised 1
devoted 1
devour 1
die 1
direct 1
disbelief 1
discovers 1
dismayed 1
distrusting 1
disturbed 1
do 1
domain 1
down 3
dresden 8
drive 1
drives 1
driving 1
duel 1
dumorne 1
during 2
ear 1
earth 1
ecstatic 1
elated 1
elected 1
electing 1
elects 1
else 2
embraces 1
encounters 1
end 2
ending 1
enlisting 1
enlists 1
enough 1
enraged 1
enraging 1
enter 1
entered 1
enters 1
entire 2
ever 1
evil 3
exchange 1
exchanges 1
excise 1
explaining 1
explains 1
extremely 1
fallen 2
family 1
fare 1
father 2
fault 1
fear 1
feasibly 1
feelings 1
fell 1
finally 1
find 2
finds 5
fitz 2
flees 1
flocked 1
following 1
follows 1
fomor 2
for 7
former 1
forthill 2
free 1
friends 1
from 5
genuinely 1
get 1
given 1
giving 1
godmother 1
goes 1
grabbing 1
gradually 1
grave 1
greatest 1
greatly 1
ground 1
group 4
guarding 1
had 7
happy 1
harm 2
harry 41
harrys 3
has 3
have 6
he 23
held 2
help 3
her 19
hideout 4
him 16
himself 3
his 24
holds 1
home 7
homicidal 1
house 2
how 2
however 1
identity 1
illusionist 1
in 18
increasing 1
influence 2
informed 1
informs 1
ingenuity 1
inside 1
intervenes 1
intimate 1
into 8
is 16
island 1
it 4
justin 1
justine 1
karrin 1
karrins 1
kemmlers 1
kept 1
kill 1
kincaid 1
knew 1
knight 3
knowledge 1
known 1
lady 1
lair 1
lake 1
last 3
later 1
leads 1
leanansidhe 2
learn 1
learning 1
leaving 1
led 2
left 1
lets 1
lied 1
lies 1
like 1
lindquist 1
live 1
look 1
love 2
loved 3
loves 2
lying 2
mab 7
maggie 1
make 1
male 1
mass 1
meet 1
memories 1
memory 4
method 1
methods 1
michael 1
mind 1
mindless 2
molly 9
mollys 2
moment 2
monster 1
more 1
mort 11
mortimer 2
morts 3
mouse 1
move 2
murder 3
murdered 1
murphy 5
murphys 3
must 2
named 2
nearly 2
nevernever 1
next 2
not 2
now 3
of 31
off 1
offers 1
old 1
on 6
once 2
one 5
ones 2
only 1
operates 1
opportunity 1
or 2
order 1
ordered 2
other 1
out 2
over 1
overpowered 2
overpowers 1
own 4
passes 1
physical 1
place 1
plan 1
police 1
power 3
powerful 2
practitioner 2
prepare 2
protect 1
protection 3
protects 1
pseudonym 1
pulls 1
pursuing 1
put 1
queen 1
questions 1
quickly 1
rage 1
ragged 1
realizes 3
realizing 2
reason 1
red 1
reluctantly 1
remembering 1
remnant 1
remove 1
rescue 1
return 3
returns 1
rise 1
safe 1
save 1
saved 2
saying 1
see 3
seeing 1
sensitive 2
set 1
seven 2
shade 1
shall 1
shame 1
she 10
shock 1
shocked 1
show 1
side 1
siege 1
simultaneously 1
since 1
sir 1
sleep 1
solve 1
sought 1
souls 1
south 1
spawning 1
specter 1
spell 2
spellcaster 1
spirit 4
spirits 8
squad 1
standing 2
station 1
stay 1
still 1
storms 1
story 1
stuart 2
succeed 1
summon 1
summoned 1
surprises 1
swarm 1
take 2
taken 2
takes 1
taking 1
teach 1
teachings 1
tears 1
teenagers 2
tells 5
tests 1
that 13
the 65
them 3
then 4
they 1
theyre 1
this 3
thomas 3
those 2
thought 2
thrall 2
through 2
thug 1
time 1
to 56
tortured 1
torturing 1
tracks 3
train 1
training 1
traits 1
trapped 1
travels 2
tried 1
truth 1
try 1
turn 3
turns 1
tutelage 1
under 6
understands 1
upon 1
uriel 8
use 1
uses 3
utter 1
vacuum 1
walks 2
was 3
watch 1
watches 1
way 1
weapon 1
well 2
what 1
when 2
where 1
which 5
while 2
whispering 2
who 18
whom 2
whos 1
will 4
winter 3
wishing 1
with 9
without 1
wont 1
words 2
work 2
worthless 1
would 2
wraith 1
wraiths 1
wrests 1
you 1
your 1
youth 1
