807939
/m/03dhn0
/m/03dhn0
Dave Eggers
2002-09
{"/m/05hgj": "Novel"}
80000 1
a 20
absence 1
accident 1
according 1
after 2
agree 1
air 1
all 1
am 1
ambitions 1
america 1
amount 1
and 19
another 1
arbitrarily 1
are 3
around 3
as 5
asked 1
attackers 1
attempt 1
avail 1
away 1
awkward 1
beaten 1
beating 1
becomes 1
been 1
begins 1
being 2
benefit 1
best 1
bit 2
both 2
boxes 1
brutally 1
but 2
by 2
car 1
cars 1
case 1
central 1
character 1
childhood 1
children 1
collection 1
come 2
company 1
composure 1
confusion 2
conglomerate 1
countries 1
creating 1
creative 1
criteria 1
death 2
decide 1
decides 1
definitive 1
delusional 1
deserving 1
did 1
difficult 1
direction 1
distributing 1
do 1
donkey 1
due 1
during 1
earn 1
entitled 1
estonian 1
experience 1
facility 1
faith 1
fear 1
featured 1
feels 1
feet 1
follows 1
for 3
friend 1
friends 1
from 1
gave 1
giving 1
go 2
graph 1
guilt 1
had 1
hand 8
has 2
having 1
he 3
help 1
here 1
his 4
hospital 1
how 1
however 1
humanity 1
hungry 1
hurricane 1
i 1
in 10
including 1
into 2
involved 1
involves 1
is 7
issues 2
it 2
jack 4
journey 2
jumping 1
killed 1
large 2
leaves 1
left 1
life 1
lightbulb 2
like 1
log 1
look 1
lose 1
made 1
many 2
map 1
meaning 1
men 1
mind 1
minor 1
money 7
moral 1
more 1
most 1
much 1
mutual 1
narrator 1
no 1
not 1
nothing 1
obscure 1
of 12
often 1
oilwet 1
on 1
one 1
only 1
or 1
other 1
over 1
pair 1
paper 1
parties 1
people 2
personal 1
photograph 1
picture 1
pilar 1
plan 3
plot 1
possessions 1
pouch 1
practicing 1
proves 1
pseudosequel 1
purpose 1
purposelessness 1
reads 1
receiving 1
restoring 1
result 1
robbed 1
rock 1
rolling 1
sacrament 1
save 1
screwing 1
sense 1
set 1
short 1
shortly 1
silhouette 1
so 1
solid 1
spontaneous 1
storage 1
stories 1
story 1
such 1
sum 2
surprisingly 2
taping 1
that 2
the 25
their 1
them 1
they 4
things 1
this 3
three 1
through 1
to 17
track 1
travel 1
treasure 1
tree 2
twenty 1
two 2
uncertainty 1
uncomfortable 1
unstable 1
unwanted 1
up 1
use 1
used 1
visiting 1
wander 1
was 1
water 1
ways 1
we 1
where 1
while 2
who 1
wild 1
will 9
with 3
without 1
world 1
you 1
