2360481
/m/076f77
/m/076f77
Erich Segal
1988
a 6
acknowledges 1
after 1
all 1
an 1
and 10
anecdotes 1
apart 1
are 1
as 1
at 1
background 1
barney 2
become 1
becoming 1
begins 1
bestseller 1
better 1
book 1
by 9
castellano 1
characters 1
charles 1
childhood 1
come 1
cook 1
david 1
days 2
doctor 1
doctors 3
drawn 1
each 1
end 1
erich 1
ethics 1
euthanasia 1
extensively 1
faced 1
failed 3
for 1
from 3
gentle 1
getting 1
had 2
has 1
he 2
in 1
incidents 1
insight 1
inspirations 1
intern 1
into 1
is 1
james 1
kenneth 1
klein 1
konner 1
la 1
laura 2
lebaron 1
leon 1
life 1
light 1
list 1
lives 1
livingston 1
love 1
making 2
many 1
marriage 1
medical 2
melvin 1
morality 1
motivated 1
much 1
new 1
nolen 1
number 1
of 10
on 1
one 1
other 1
pour 1
practice 1
prejudices 1
progresses 1
provide 1
psychiatrist 1
rachels 1
reached 1
realize 1
relationships 2
requiem 1
researched 1
robin 1
school 1
schwartzenberg 1
segal 1
similar 1
smaller 1
some 1
spot 1
story 3
strength 1
string 1
struggling 1
students 2
surgeon 1
that 1
the 18
their 3
them 2
then 1
those 1
though 1
times 2
to 2
traces 1
troubles 1
ultimately 1
vengeance 1
vie 1
viscott 1
weaknesses 1
which 1
william 1
with 2
year 1
york 1
