3940646
/m/0b7td1
/m/0b7td1
Arthur Ransome
1947
a 8
agreed 1
all 1
amazons 1
an 1
and 5
are 3
arises 1
as 3
attempting 1
be 2
been 1
before 1
bird 2
birds 4
blackthroated 1
boat 1
book 1
books 1
british 1
by 1
captain 1
children 1
classified 1
clean 1
collects 1
complicating 1
consult 1
cruise 1
deadly 1
diver 2
ds 1
duck 1
eggcollector 1
eggs 1
enemy 1
evidence 1
excitement 1
expert 1
explore 1
fantasy 1
flint 1
gaelic 1
gathering 1
generally 1
great 1
has 1
have 1
he 1
hebrides 1
hence 1
her 1
in 4
inhabitants 1
inland 1
involves 1
is 3
island 1
isles 1
it 1
jemmerling 1
known 1
lee 1
local 1
loch 1
made 1
matter 1
members 1
metafictional 2
missee 1
misunderstanding 1
more 1
mostly 1
mr 1
mysterious 1
nest 1
nesting 2
never 1
northern 1
of 6
older 1
on 2
one 1
ones 1
or 1
other 1
out 1
outer 1
owner 1
party 1
peter 1
photographic 1
plot 1
protect 1
question 1
rare 1
returning 1
sailing 1
scottish 1
seen 1
series 1
shoot 1
skins 1
some 1
speaking 1
stories 1
stuffed 1
swallows 1
tale 1
than 1
the 22
their 1
themselves 1
they 2
this 1
title 1
to 6
try 1
turns 1
two 1
up 1
usual 1
violence 1
whether 1
which 1
while 2
who 1
with 3
younger 1
