14991911
/m/03h3_wx
/m/03h3_wx
Mercedes Lackey
2007
{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy"}
a 18
able 7
adamant 1
advantage 1
affiliated 1
after 2
aid 1
along 1
also 2
although 1
amphibious 1
an 1
and 26
animals 1
another 2
appears 1
are 3
arrives 1
as 3
attack 1
baba 4
back 1
bad 1
battle 1
be 2
because 1
becomes 3
being 1
belarus 4
bird 2
blood 1
bottle 3
brass 1
by 5
can 3
captives 1
cast 1
castle 5
champions 3
chapter 1
city 1
cleaning 1
confront 1
conquering 1
convince 3
copper 3
crane 1
daughter 1
deafmute 1
decide 1
decides 1
despite 1
difficult 1
disappearance 1
disguise 1
dragons 4
drylanders 1
due 1
dug 1
during 1
duties 1
each 1
earth 1
ekaterina 1
ends 1
epilogue 1
escape 3
ever 1
evil 2
fall 1
father 2
finding 1
finds 1
fool 1
fools 1
for 1
forces 2
foreign 1
forest 1
fortunate 1
fortunes 1
found 1
frees 1
from 3
fulfil 1
gains 1
gift 2
gina 1
girls 5
glass 1
go 1
goat 1
growing 1
guarded 1
guidance 1
happily 1
has 4
he 4
help 4
her 8
him 7
himself 1
his 4
horse 1
however 1
humans 1
humpbacked 1
in 7
intelligent 1
into 2
investigate 2
involving 1
is 14
island 2
it 1
its 1
itself 1
jinn 8
katschei 2
katya 14
katyas 1
kidnap 1
kidnapped 1
kidnaps 1
king 5
kingdom 2
kitsune 1
knowing 1
knows 1
languages 1
law 1
lead 1
led 3
lend 1
living 1
location 1
love 1
magic 2
magical 2
magically 2
maidens 1
majority 2
making 1
manage 1
manipulate 1
meanwhile 1
meets 1
men 1
messages 1
messenger 1
mission 2
mountain 4
names 1
near 1
nearest 1
needs 2
news 1
nippon 2
no 2
not 1
novel 1
number 1
of 23
on 5
or 1
order 2
origami 1
other 1
others 1
out 6
over 1
pair 1
paper 1
pass 1
peaceful 1
people 2
pieter 1
plan 2
power 1
powers 1
pretends 1
prince 2
prosperous 1
proves 1
queen 3
quiet 1
reconnaissance 1
rescuers 1
reseal 1
resides 1
royal 1
rumours 1
sasha 8
save 1
sea 5
seals 1
seek 1
send 1
sends 5
sense 1
sent 3
sergi 3
servant 1
sets 2
seventh 2
she 4
sign 1
since 1
so 1
some 1
someone 1
something 1
son 2
songweaver 1
soon 1
sorceress 1
speak 2
spend 2
spy 1
stables 1
stalemate 1
starts 1
steed 1
stop 2
story 2
subjects 1
subtly 1
suspicion 1
take 1
taken 2
target 2
task 1
tasting 1
temporary 1
that 4
the 61
their 2
them 2
they 2
time 2
to 37
too 1
towards 1
tracker 1
tradition 2
travels 1
tries 1
trio 1
try 1
tunnels 1
two 1
under 1
understand 1
unlike 1
until 1
up 2
use 2
used 1
uses 1
using 2
valuable 1
via 1
when 2
where 2
who 2
wise 2
witches 1
with 7
wolf 1
woman 1
work 3
yaga 2
yagas 2
young 1
youngest 1
