5704755
/m/0f02sh
/m/0f02sh
Barbara Mertz
1999
111 1
a 2
abdullah 1
about 1
after 1
allegations 1
amelia 1
americans 1
an 1
and 10
antiquities 1
are 1
army 1
as 1
at 1
be 2
been 2
behind 1
brains 1
but 1
by 1
cast 1
characters 1
completely 1
could 1
couple 1
criminal 1
daughter 1
david 2
dig 1
dimmed 1
doesnt 1
drug 1
egypt 1
egyptian 1
elaryan 1
emerson 1
emersons 3
ensue 1
evelyn 1
evil 1
excavate 1
expedition 1
fake 1
fakes 1
false 1
family 1
fears 1
ferreting 1
finds 1
geoffrey 1
giza 1
godwin 1
grandfather 1
great 1
guise 1
happiness 1
happy 1
has 3
have 1
he 2
her 1
his 2
honeymoon 1
however 1
illegal 1
in 2
intermittent 1
investigating 2
involvement 1
is 2
it 1
jack 1
join 1
joining 1
just 1
keeps 1
late 1
legacy 1
lia 1
lurid 1
making 1
married 1
master 1
meanwhile 1
member 1
memoir 1
nefret 2
nephew 1
nothing 1
of 9
on 2
out 1
part 1
peabody 1
percy 1
peril 1
pest 1
planning 1
plot 1
proposing 1
pyramids 1
ramses 3
reynolds 1
rumors 1
season 1
seems 1
selling 1
sets 1
sights 1
sister 1
something 1
source 1
south 1
take 1
task 1
that 2
the 20
their 1
this 1
though 1
time 1
to 5
todros 1
trade 1
turns 1
two 1
under 1
up 2
usual 1
walter 1
whose 1
will 1
with 2
written 1
young 1
zawyet 1
