22686057
/m/05p0wth
/m/05p0wth
Bruce Marshall
1959
{"/m/05hgj": "Novel"}
a 19
absorbing 1
actions 1
after 2
against 1
allows 1
an 1
and 14
are 1
army 1
as 5
assignment 1
at 1
back 1
been 2
befell 1
before 1
bequeaths 1
book 1
both 1
bother 1
boulders 1
british 1
but 3
by 3
campbell 5
can 1
canon 2
cardinal 3
catholic 1
catholicism 1
causes 1
cellar 1
challenged 1
chaplain 1
characteristic 1
charity 1
church 3
clerical 1
collection 1
companion 1
complex 1
conflict 1
convert 1
created 1
deal 1
death 1
depth 1
discipline 1
does 1
dramatic 1
early 1
ends 1
entanglements 1
essential 2
eventually 1
everyone 1
evil 1
excellent 1
expeditionary 1
experiences 2
facing 1
faith 3
family 1
famous 1
father 5
feels 1
first 3
fond 1
for 2
force 1
found 1
france 1
from 3
glory 1
go 1
god 1
good 2
granted 1
grown 1
had 2
hardened 1
has 2
having 1
he 6
heartwarmingly 1
helped 1
hero 1
hierarchy 1
him 5
himself 2
his 11
hopefully 1
human 1
humble 1
i 1
in 6
intelligence 2
is 4
just 1
kept 1
kind 1
last 1
later 1
lay 2
layman 1
lead 1
life 1
like 1
lourdes 1
man 1
many 1
marshall 1
mellowed 1
minor 1
miracle 2
never 1
novel 1
novels 1
observes 1
of 13
often 2
old 1
only 1
ordination 1
outcome 1
parish 2
path 1
patient 1
people 1
pitted 1
presents 1
priest 3
priesthood 1
problems 1
rarely 1
realities 1
reality 1
rebellious 1
rector 1
relents 1
remains 1
result 1
returns 1
richness 1
rise 1
running 1
said 1
scotland 1
scottish 1
scraps 1
seeks 1
sees 2
sent 1
series 1
serious 1
setbacks 1
soap 1
some 1
still 1
story 2
study 1
subjects 1
such 1
surprise 1
that 1
the 32
there 1
they 1
through 1
to 10
tracks 1
travel 1
triumph 1
truly 1
truth 1
ultimate 1
understand 1
unshaken 1
unsophisticated 1
unspotted 1
until 1
very 1
vocation 1
war 3
was 3
watched 1
wealthy 1
when 1
which 4
who 1
whom 1
widely 1
wine 1
with 1
world 4
writer 1
years 2
young 1
