703402
/m/0343l1
/m/0343l1
Ulrich Karger
2002
{"/m/0dwly": "Children's literature"}
a 4
about 2
afraid 2
all 2
also 1
and 2
another 1
as 1
at 1
bed 1
believe 1
book 1
bright 1
but 1
by 1
children 4
costumes 1
darkness 1
decorations 1
do 1
does 1
draws 1
end 1
evil 1
father 1
fears 1
feels 1
for 1
from 1
gave 1
ghosts 2
go 1
group 1
halloween 1
hallway 1
has 1
having 1
he 3
heart 1
her 5
in 2
is 1
it 1
jonas 1
keeping 1
kindergarten 1
light 1
making 1
mary 1
near 1
need 1
night 2
not 2
of 2
older 1
on 1
one 1
only 1
other 1
party 1
prepare 1
school 1
sends 1
shares 1
she 2
sleepover 1
so 1
special 1
star 2
student 1
students 1
taught 1
tells 1
that 1
the 9
think 1
thinks 1
this 1
to 3
trick 2
whenever 1
with 1
