3730327
/m/09xscq
/m/09xscq
Lance Parkin

{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction"}
17 1
a 6
alex 1
allen 1
an 1
and 4
apparently 1
arrives 2
as 1
astronaut 1
astronauts 1
at 1
authorities 1
back 1
been 2
before 1
benny 1
bernice 2
between 1
breakdown 1
brigadier 1
britain 1
british 4
but 2
by 1
can 1
carrying 1
change 1
christian 1
come 1
crash 1
crew 2
deadly 1
deal 2
death 1
doctor 4
earth 1
eighth 2
everyone 1
from 2
further 1
government 1
greyhaven 1
has 2
have 1
he 1
helicopter 1
her 2
his 2
house 1
ice 4
imprisonment 1
in 4
incarcerated 1
interferes 1
intrude 1
invading 1
is 3
it 1
kent 1
killed 2
kills 1
known 1
land 1
lands 1
league 1
leaving 1
lord 2
marriage 1
mars 4
martian 1
minister 1
mission 2
missions 1
nearby 1
negotiated 1
new 1
no 1
now 1
of 5
on 4
or 1
out 1
part 1
planet 1
plans 1
pretence 1
prisoner 1
reality 1
recovering 1
red 1
releases 1
road 1
samples 1
science 1
secretly 1
sent 1
since 2
so 1
soil 1
steps 1
summerfield 1
surprise 1
tardis 1
terms 1
that 1
the 19
their 1
then 1
there 1
they 1
this 1
thought 1
to 5
tomb 1
vengeance 1
warrior 1
warriors 2
was 1
weapon 1
were 1
when 2
where 1
who 1
with 5
xznaal 2
year 1
