4886857
/m/0csn4f
/m/0csn4f
Anne Tyler
1972
14 1
a 4
and 9
away 1
baltimore 1
becoming 1
between 2
bit 1
by 1
changing 1
children 2
college 1
companion 1
direction 1
discover 1
discusses 1
each 1
earn 1
elizabeth 4
emerson 5
emersons 1
end 1
ends 2
first 1
for 1
from 1
fundamental 1
furniture 1
garage 1
grown 1
handyman 1
happenstance 1
help 1
her 1
home 1
in 3
is 2
landing 1
lives 1
matthew 1
money 1
mother 1
mrs 5
near 1
of 6
offer 1
other 1
pamela 1
particularly 1
porch 1
protagonist 1
recent 1
relationship 2
seeing 1
sense 1
seven 1
several 1
she 2
spans 1
stops 1
store 1
story 2
struggling 1
taking 1
the 10
then 1
time 1
timothy 1
to 3
up 3
ways 1
which 1
who 1
widow 1
winter 1
woman 1
years 1
young 1
