8002757
/m/026n4nc
/m/026n4nc
Julia Álvarez
1991
150s 1
160ndash156 1
170ndash160 1
18ndash172 1
35 1
a 24
able 1
accents 2
account 1
addressed 1
adolescence 1
adopted 1
adult 2
advantages 1
after 1
against 1
agents 1
agnosticism 1
along 1
also 1
although 2
american 3
americans 2
amorously 1
an 5
and 47
another 1
antojos 1
appear 1
appreciating 1
are 6
around 1
as 8
aspects 1
assimilate 1
assimilation 1
at 2
attempting 1
attend 1
aunts 1
away 2
baby 1
back 3
bag 1
bathroom 1
be 1
becomes 2
becoming 1
begins 2
behind 1
being 2
best 1
between 3
bible 1
birthday 2
blood 1
boarding 2
born 2
both 1
boys 1
bread 1
broken 1
brought 1
but 1
by 3
came 2
car 1
carla 4
carlos 7
catholic 2
catholicism 1
celebrate 1
centered 1
centre 1
chapitas 1
chapter 8
chapters 4
chemist 1
child 1
childhood 4
children 1
city 1
closes 1
closing 1
collective 2
comes 2
coming 1
communally 1
comparison 1
compound 1
concluding 1
conflict 1
conflicted 1
conflicts 1
conquistadores 2
consists 1
context 1
countless 1
country 2
cousins 1
culture 1
cultures 1
curb 1
danger 1
daughter 2
delivers 1
described 1
describes 2
describing 1
details 3
develop 1
did 1
didnt 1
diplomat 1
dirty 1
discovered 1
discovery 1
divided 1
dominican 8
during 3
earlier 1
early 4
earth 1
educating 1
elmenhurst 2
elucidated 1
emigrate 1
ends 1
enjoy 1
enraging 1
environments 1
episodically 1
escaped 1
escapes 1
establishes 1
establishing 1
even 1
event 1
expansive 1
experience 2
explicitly 1
explores 1
extended 2
face 1
factory 1
fairly 1
families 1
family 16
father 4
feel 1
fell 1
few 2
fifteen 1
filling 1
find 1
finishes 1
first 5
five 1
floor 1
focus 2
for 5
forced 2
form 1
four 2
free 1
from 6
garca 7
garcas 2
german 1
girls 8
given 1
go 1
god 1
goes 1
grandfather 1
had 3
haitian 1
haitians 1
happy 1
has 1
head 1
heaven 1
helping 1
her 11
him 1
his 6
hispanic 1
home 2
homeland 1
host 1
houses 2
how 1
i 4
idealized 1
ideas 1
ii 4
iii 4
immediately 1
immigrant 1
immigrants 1
immigration 1
important 1
in 32
innocence 1
into 2
introduced 1
introduces 1
is 15
island 2
issues 1
it 3
john 1
kiss 2
large 1
last 1
later 2
laura 5
leading 1
lecherously 1
left 1
letters 1
life 1
lifeordeath 1
lifestyle 1
lifetime 1
like 1
lip 1
little 1
live 1
lives 2
living 3
longterm 1
looking 1
lost 1
love 2
lover 1
lucky 1
made 1
maid 1
major 2
makes 1
man 1
manna 1
many 1
marijuana 1
married 1
massacre 1
masturbates 1
meeting 1
members 1
mix 1
molester 1
months 1
most 1
motive 1
much 1
my 1
named 1
narrate 1
narrated 2
narrates 1
narration 1
narrative 1
nations 1
nature 1
neighborhood 1
neighbours 1
never 1
new 5
not 1
novel 5
numerous 1
of 40
offer 1
old 1
on 5
one 2
only 1
open 1
opening 2
opens 1
opinion 1
order 1
out 2
overall 1
owner 1
packet 1
parents 1
part 13
particular 1
partners 1
parts 1
party 1
past 1
patriarch 1
persecution 1
person 1
physician 1
pieces 1
playmates 1
point 2
political 1
politics 1
practicing 1
pray 1
presents 1
preserve 1
previously 1
progresses 1
prominent 1
protected 1
psychiatrist 1
pulling 1
punishment 2
quickly 1
racism 1
reader 1
real 1
realizes 1
recollects 1
redneck 1
regular 1
regularly 1
relationship 4
relationships 3
relocating 1
removed 1
rental 1
repair 1
representative 1
republic 7
respectively 1
restaurant 1
return 2
revealed 1
reversechronological 2
revolution 1
revolutionary 1
road 1
romantic 1
roots 1
rudy 2
running 1
sandra 4
school 4
second 1
secondhand 1
section 2
sent 1
servants 1
serve 1
service 1
setbacks 1
she 3
show 1
showing 1
sired 1
sisters 3
situation 1
snow 1
so 2
sofa 6
someone 1
somewhat 1
son 1
soon 1
soontobe 1
spanish 1
spend 1
spic 1
start 1
states 5
still 1
stories 1
story 4
stuff 1
styles 1
subjected 1
subsequent 1
summer 1
superficial 1
surprise 1
surrounded 1
switches 1
talking 1
target 1
telling 1
tells 1
tension 2
tensions 1
that 7
the 106
their 20
them 2
they 4
third 3
this 4
three 2
through 1
thus 1
time 1
to 32
tracing 1
traditions 1
transformation 1
trespass 1
trip 1
trujillo 2
turning 1
two 1
uncles 1
understand 1
unexpected 1
united 6
unity 1
up 3
upbringing 1
upperclass 1
us 1
victim 1
vision 1
voodoo 1
was 3
way 2
ways 1
we 3
wealthy 1
wedlock 1
well 1
where 2
which 3
while 2
who 2
wife 2
will 1
window 1
winter 1
with 16
witnesses 1
work 2
worldclass 1
would 2
written 1
year 1
years 1
yolanda 7
york 4
you 2
youngest 1
