1777067
/m/05w260
/m/05w260
Matthew Reilly

{"/m/01jfsb": "Thriller", "/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/02n4kr": "Mystery", "/m/02xlf": "Fiction", "/m/0c3351": "Suspense"}
a 27
abilities 1
about 1
after 2
agent 1
alien 2
all 2
allowing 1
alone 2
already 1
also 3
an 7
and 39
animal 1
animals 1
another 2
appear 1
appears 1
are 6
around 2
arrived 1
arrives 2
as 9
at 4
attack 1
attacked 1
attacks 2
awake 1
awakes 1
away 3
back 4
balthazar 7
band 3
be 4
because 2
becoming 1
been 3
before 5
begins 1
behind 1
being 1
beings 1
bellos 8
beneath 1
body 1
bringing 1
but 4
by 7
called 6
can 4
cannot 1
cap 1
carnage 1
chase 1
chases 1
cheated 1
cheating 1
chosen 2
christine 1
city 1
clasped 1
clips 1
closet 2
codex 2
combat 1
compete 1
complicate 1
contaminated 1
contest 2
contestant 6
contestants 4
could 1
countdown 1
counting 1
create 1
creature 1
creatures 1
crocodilelike 1
crushing 1
daughter 1
day 1
death 2
definite 1
demonstrated 1
despite 1
destroying 2
device 2
different 1
discovered 1
dispose 1
do 1
door 2
down 5
dr 1
drags 1
drops 1
each 3
earth 1
electrical 3
electrified 1
electrocute 1
elevator 4
enclosed 1
encounters 2
end 1
ends 1
ensuing 1
escape 4
escapes 1
every 1
everything 1
evidence 1
experience 1
explains 1
explode 2
fails 1
falling 1
field 2
fifteen 1
fight 4
fighting 2
figured 1
final 5
finally 1
find 2
finds 2
fire 1
flees 2
focuses 1
follow 1
fraser 1
from 2
game 2
gang 2
gap 1
garage 2
get 3
gets 2
getting 1
give 1
gives 1
goes 1
going 2
group 3
guard 2
guide 2
guides 1
half 1
has 9
have 2
having 2
hawkins 7
he 6
head 1
henry 1
her 1
him 7
his 4
holly 7
home 2
hood 1
hoodayas 1
hoods 6
how 2
however 2
humans 1
hunting 1
hypnotizes 1
if 3
in 23
incident 1
including 1
indicates 1
initialize 1
injures 1
inside 2
intelligent 1
intervenes 1
into 9
investigate 1
invincible 1
is 12
it 3
its 2
janitor 1
janitors 1
just 1
karanadon 8
keep 1
kill 11
killed 3
killing 1
kills 2
knocked 1
knocking 1
konda 3
labyrinth 3
last 1
leaving 1
left 2
library 14
light 1
lobby 3
luck 1
magnet 1
making 1
manage 1
managed 1
manages 4
many 1
matters 1
meanwhile 1
members 1
metal 1
minutes 1
must 2
mysterious 1
named 5
natural 1
near 2
nest 1
new 1
night 1
no 1
not 3
novel 1
now 1
nsa 3
of 9
off 2
officers 1
officials 2
on 4
one 1
open 1
opened 1
opponent 1
or 2
order 1
other 3
out 6
outside 2
over 1
paper 1
park 1
parker 3
parking 2
paul 1
people 1
phone 1
place 1
pocket 1
points 1
police 1
power 1
powerful 1
precaution 1
presidian 3
process 1
promise 1
psychopathic 1
quaid 2
rachnid 1
radiologist 1
realizes 1
reese 4
regroup 1
represent 2
rules 1
rummaging 1
rush 1
ryan 1
say 1
says 1
security 2
see 2
seeing 1
selexin 13
send 1
separated 1
sequence 1
serve 1
seven 1
shaft 1
she 1
showing 1
shut 1
simple 1
slams 1
small 1
so 3
some 1
somehow 1
something 1
species 1
spending 1
stack 3
stage 1
standing 1
start 1
stephen 1
story 1
stumbled 1
subway 1
such 1
suddenly 1
surges 1
survived 1
swain 20
take 1
teleportation 1
teleported 7
teleporter 4
teleporting 1
tells 1
that 8
the 86
them 1
then 1
they 4
this 1
time 1
tiny 1
to 32
too 1
trace 1
trapping 1
tricks 1
tries 1
trying 1
two 3
unfortunately 1
unknown 1
upon 1
uses 2
wakes 1
was 1
watches 1
watching 1
well 1
were 1
what 1
whether 1
while 3
who 6
whole 1
will 7
window 1
winner 1
with 4
witnesses 1
work 1
world 1
wrist 1
wristband 3
wristbands 1
york 1
