381491
/m/021ncg
/m/021ncg
Colleen McCullough
1977-04
a 53
a200 1
about 2
absence 1
accepts 2
acquaintance 1
actress 1
adored 1
advance 1
adventures 1
affair 1
affection 1
after 8
afterward 1
again 1
against 1
ago 1
all 4
alone 1
already 1
also 5
although 6
always 1
ambition 3
ambitious 1
an 6
and 64
anne 1
any 1
anyone 1
appropriates 1
are 3
aristocratic 1
arms 1
arranges 1
as 13
at 7
attention 2
attentions 1
australia 4
avail 1
avoid 1
away 1
baby 2
back 3
be 3
bears 1
beautiful 6
because 6
become 4
becomes 4
becoming 1
been 5
before 3
befriended 1
befriends 1
begin 2
begins 2
begs 1
believed 1
beloved 1
beneficiary 1
bequest 3
better 1
between 2
bird 1
birth 2
birthday 2
bishop 1
bit 1
black 1
blacksmith 1
blandly 1
blinds 1
blurts 1
boar 1
body 1
bogs 1
book 1
born 1
both 1
bother 1
boxer 1
boy 2
boys 1
break 1
breaks 1
bricassart 1
brief 1
brother 4
brothers 4
bulk 1
but 11
buy 1
by 2
called 1
calls 1
calmly 1
can 1
canecutting 2
capable 1
cardinal 1
care 1
cares 1
carson 2
catholic 3
cemetery 1
centre 2
century 1
change 1
changing 1
cherish 1
child 2
children 1
choose 1
church 6
citizen 1
cleary 2
clearys 3
clings 1
close 2
coddling 1
come 1
communications 1
company 1
competitive 1
conceal 1
conduct 1
confesses 1
consummate 1
continues 1
contraception 1
convicted 1
couple 1
court 1
cruelty 1
crying 1
curly 1
current 1
cutters 1
dane 11
dangerous 1
daughter 3
day 4
days 1
de 1
dead 1
dearly 1
deaths 1
decades 1
decides 3
deeply 1
delay 1
deliberately 1
depressed 1
derived 1
desire 3
despite 1
destroy 1
devises 1
dies 7
difficult 1
directly 1
disgusting 1
disinherited 1
dismay 1
diversion 1
do 1
does 1
down 1
drawn 1
dream 1
dressed 1
drogheda 11
duly 1
during 1
duties 1
early 1
eighteen 1
eldest 1
else 1
empire 1
encourage 1
endure 1
england 1
enormous 1
enough 2
epic 1
estate 2
evening 1
eventually 1
ever 3
executor 1
exile 1
existence 1
expected 1
experience 1
explains 1
eyes 1
fact 1
fails 1
falls 2
family 2
farm 1
father 8
favourite 1
fee 11
feelings 1
fight 1
filled 1
finally 2
financial 2
find 1
finding 1
finds 4
fire 1
first 2
for 19
forcing 1
forlorn 1
forties 1
fortune 1
fouryearold 1
fractious 1
frank 9
freewheeling 1
friend 1
friendship 1
from 12
funeral 2
funerals 1
gang 1
genius 1
german 1
getting 1
gillanbone 1
girl 2
give 1
gives 2
giving 1
god 1
goes 4
gone 1
goodbye 1
gown 1
gradually 1
grandchild 1
grandchildren 1
great 4
greece 1
grows 2
guarantee 1
had 3
hair 2
hal 2
hand 1
handsome 1
harassed 1
hartheim 1
has 14
hatched 1
have 3
