9382690
/m/0286ncp
/m/0286ncp
Jaclyn Moriarty
2006
11 2
a 15
adapts 1
aimed 1
allimportant 1
also 1
amends 1
american 1
an 2
and 8
arrogant 1
arsenic 1
as 5
ashbury 1
at 3
attitude 2
become 1
becomes 2
becoming 1
begins 2
better 1
bindy 13
blonde 1
by 1
central 1
changes 1
character 2
characteristics 1
classmates 1
company 1
complex 1
contributes 1
course 2
deal 1
development 1
discover 1
discovers 1
disliked 2
downhill 1
due 1
each 1
english 1
enjoy 1
error 1
even 1
everything 1
face 1
fad 5
falls 2
finnegan 1
first 1
focussing 1
for 2
friendly 1
friendship 1
from 5
goes 1
grades 1
gradually 1
group 3
grows 1
helping 2
her 18
here 1
high 1
highachiever 1
horrified 1
however 1
ill 1
illness 2
in 7
increasingly 1
interest 2
is 5
issues 1
jobs 1
learn 1
life 1
likable 1
love 1
mackenzie 1
make 2
mandatory 1
meantime 1
members 1
miserable 1
mission 1
montaine 1
more 1
most 1
motives 1
must 1
mystery 1
new 1
night 1
novel 1
obsessively 1
of 5
office 1
on 2
one 2
only 1
part 1
partner 1
peers 2
people 1
perfectionist 1
person 2
personality 1
poisoning 1
possible 1
precocious 1
presents 2
prestigious 1
private 1
problems 1
rather 1
realises 1
recognise 1
resulting 1
revenge 1
scenario 1
school 3
seek 1
she 7
shocking 1
slowly 1
strange 1
strong 1
struggle 1
student 1
studies 1
suffer 1
suffering 1
sydney 1
take 1
takes 1
teacher 2
teenagers 1
that 4
the 8
them 1
these 1
to 10
tries 1
try 1
unconscious 1
unfolds 1
until 1
ways 1
when 1
widely 1
with 3
worse 1
year 2
