27543562
/m/0c02llh
/m/0c02llh
Elliot Paul

131 1
136 1
137 1
14 1
a 2
after 1
also 1
although 1
and 13
around 2
aspirations 1
at 2
away 1
becomes 1
before 1
book 2
by 1
change 1
characters 1
civil 2
collaboration 1
community 2
conclusion 1
dated 1
departure 1
des 1
describes 4
details 3
disobedience 1
during 1
elliot 1
eulria 1
events 3
eventually 1
ever 1
expatriates 1
family 3
fears 1
finishes 1
first 1
fleeing 1
following 1
for 2
friends 1
from 2
had 1
have 1
he 4
his 5
homes 1
hopes 2
hostilities 1
how 1
ibiza 4
in 5
is 2
island 2
it 1
its 1
june 1
lead 1
leading 1
life 1
live 1
lived 1
lives 1
made 1
many 1
narrative 2
of 11
on 3
oncehappy 1
other 2
outbreak 1
part 3
paul 6
people 1
play 1
politics 1
postscript 1
provides 1
reaches 1
refugees 1
returning 1
riu 1
santa 1
set 2
since 1
small 1
some 1
spanish 1
split 1
starts 1
story 1
tells 1
that 3
the 23
their 5
there 1
thought 1
time 1
to 3
town 4
tragic 1
turn 1
two 1
up 1
violence 2
warand 1
way 1
week 1
where 1
who 2
with 1
work 2
would 1
writes 1
written 1
