4769036
/m/0cm9yc
/m/0cm9yc
Scott Lively
1995
145 1
a 3
abrams 1
according 1
adolf 1
against 1
also 1
america 1
and 5
as 3
authors 1
book 6
boy 1
by 2
called 1
contributed 1
detailing 1
discuss 1
eight 1
extreme 1
for 1
found 1
german 1
germany 2
himself 1
hitler 1
homophobia 1
homosexual 2
homosexuality 1
homosexuals 2
igra 1
in 5
including 1
is 1
it 1
itself 1
killers 1
leaders 1
lively 2
many 1
militarism 1
national 1
nazi 5
nazism 2
of 7
one 1
party 2
pink 3
plant 1
reference 1
refers 1
regime 1
research 1
richard 1
samuel 1
says 1
scott 1
scouts 1
serial 1
significant 1
source 1
states 1
subject 1
swastika 2
take 1
ten 1
that 2
the 21
title 1
to 4
top 1
triangle 1
up 1
us 1
version 1
vice 1
victims 1
war 1
was 1
well 1
were 2
writing 1
written 1
