18760099
/m/04gqc6y
/m/04gqc6y
John G. Hemry
2007
{"/m/06n90": "Science Fiction"}
a 4
accused 1
adventures 1
after 2
alliance 3
allied 1
allies 1
among 2
and 4
arriving 1
as 2
attempt 1
because 1
been 1
begins 1
believes 1
black 1
book 1
break 1
by 1
captain 1
charge 1
colony 1
come 1
command 3
containing 1
cowardice 1
despite 1
detect 1
detection 1
discovered 2
disobeying 1
during 1
enemy 1
falco 1
field 1
fleet 6
fly 1
follows 1
for 1
formation 1
former 1
four 1
geary 5
had 1
has 1
he 1
hero 1
his 1
in 2
incident 2
indirectly 1
into 1
is 7
it 2
jack 2
knowing 1
laid 1
liberating 1
line 1
lost 1
meeting 1
mine 1
minefield 1
not 2
novel 1
of 9
officers 2
on 2
one 1
orders 1
planets 1
planning 1
pows 1
prison 1
prisoners 1
raid 1
recall 1
resent 1
resources 1
right 1
second 1
secret 1
series 1
ships 3
should 1
sutrah 1
syndic 1
system 2
systems 1
that 4
the 20
their 1
them 2
there 1
they 1
this 2
to 2
trap 1
two 1
under 1
upon 1
war 1
warships 1
who 3
with 1
