85378
/m/0lp4m
/m/0lp4m
William Shakespeare
1623

a 13
abandon 1
abandons 1
accusations 1
accuses 1
afoot 1
after 3
again 2
against 1
agrees 1
aid 1
all 1
amazement 1
and 27
angrier 1
answer 1
antigonus 4
appeared 1
are 6
arrive 1
as 4
at 1
attend 1
autolycus 2
away 2
baby 2
bade 1
be 3
bear 1
bearing 1
become 1
been 2
begs 1
betrothedthen 1
birth 1
blown 1
bohemia 1
bohemian 2
brings 1
brought 1
but 3
by 7
camillo 6
carried 1
celebrates 1
child 3
childhood 1
clothes 1
clown 1
coast 1
comes 3
company 2
confirmation 1
country 1
court 1
cover 1
daughter 3
death 1
declares 1
delphi 1
delphihermione 1
desolate 1
died 1
diplomatic 1
directed 1
disguise 3
distraught 1
dream 1
effusively 1
ends 1
engaged 1
entire 1
escape 1
everyone 2
extend 1
falls 2
father 2
finished 1
flee 1
florizel 4
for 3
form 1
found 2
friend 3
from 3
furious 1
general 1
gentlemen 1
girl 2
gives 1
goes 1
gold 1
gone 1
grows 1
happens 1
has 4
have 1
he 6
heart 1
heartbroken 1
heir 1
her 4
hermione 6
him 3
his 20
hopes 1
house 1
how 1
however 2
husband 2
illegitimate 1
immediately 1
in 12
infidelity 1
innocent 1
instead 1
intervenes 1
is 13
it 1
jealousyconvinced 1
joined 1
killed 1
kindly 1
king 4
kingdom 1
land 1
leading 1
leave 1
leontes 8
leontesstill 1
life 1
lifeit 1
little 1
local 1
longer 1
longs 1
lord 1
lost 1
love 1
lovers 1
loyal 2
makes 1
mamillius 1
meanwhile 4
men 1
miracle 1
mission 1
months 1
mother 1
mourning 1
must 1
name 1
native 1
never 1
news 1
next 1
nine 1
no 1
nobles 1
now 1
of 17
off 1
old 1
on 4
only 1
oracle 1
orders 3
other 1
over 1
pass 1
paulina 5
perdita 6
person 1
place 1
play 1
pleads 1
poison 1
polixenes 8
possessed 1
pregnant 1
pretends 1
prince 1
prison 1
protests 2
publicly 1
queen 2
raised 1
realizes 1
recently 1
rejoicing 1
relents 1
repentant 1
reporting 1
reports 1
restored 1
retainer 1
revealed 1
rogue 1
see 2
sends 1
she 2
sheepshearing 1
shepherd 4
ship 1
shortly 1
sicilia 6
sicilian 1
sickness 1
sight 2
sixteen 1
soften 1
some 1
son 5
statue 2
stay 1
story 1
subsequently 1
sure 1
suspicions 1
swoon 1
take 2
tearing 1
tells 1
that 7
the 34
their 2
then 2
there 1
thereafter 1
they 1
this 2
throws 1
timegreets 1
to 19
tokens 1
told 1
too 1
two 1
until 1
us 1
using 1
visit 1
voyage 1
warns 1
was 1
wasting 1
watch 1
what 3
when 1
where 1
while 1
who 3
whole 1
wife 3
will 3
with 4
word 1
years 1
