31563044
/m/0glsr9s
/m/0glsr9s
Winston Churchill
1899
1765 1
1774 1
1876 1
a 18
aboard 1
accepts 1
act 1
action 2
admired 1
adoption 1
after 1
against 2
age 1
ailing 1
all 2
allen 2
america 1
american 1
among 1
an 2
and 22
annapolis 1
are 6
arranges 1
as 4
aspects 1
assailant 1
at 4
attacked 1
back 2
be 1
beauty 1
becomes 1
befriended 1
begins 2
believed 1
between 1
birthday 1
black 1
bonhomme 1
book 1
boyhood 1
brief 1
brigantine 2
burke 1
but 4
by 10
calling 1
captain 1
captained 1
carvel 9
chaise 1
charles 1
chartersea 1
childhood 1
claims 1
clapsaddle 2
collector 1
colonel 1
colonists 1
coming 1
commons 1
community 1
comyn 3
concerns 1
continues 1
contrast 1
coquettishness 1
corruption 1
country 2
daniel 2
dated 1
dead 1
deceiving 1
declares 1
demonstration 1
describes 1
died 1
discontent 1
dorothy 6
dual 1
duel 2
duke 2
early 2
editor 1
edmund 1
eight 1
eighteenth 1
embodied 1
emerging 1
end 1
england 1
enmity 1
escalate 1
estate 2
factor 1
faithfully 1
fashionable 1
fast 1
few 1
fictitious 1
fight 2
fights 1
final 1
first 1
five 2
for 5
foreword 2
forgives 1
forms 1
fortune 1
four 1
fourth 1
fox 2
friends 2
from 2
fruition 1
gardens 1
glamor 1
go 1
gordon 1
grafton 4
grandfather 7
grieves 1
growing 1
had 1
hall 2
has 2
he 10
hears 2
him 6
himself 1
his 20
honest 1
horace 1
hostility 1
house 1
imperfections 1
imprisoned 1
in 13
incurs 1
inherited 1
injured 1
intercession 1
interlinked 1
into 2
introduced 1
is 16
james 1
john 4
join 1
jones 3
just 1
kidnapped 1
later 1
learns 3
leaving 1
life 2
lionel 1
london 4
lord 4
love 2
loyalist 1
main 1
makes 1
manners 1
married 1
maryland 1
master 1
meet 2
meets 1
memoirs 1
moll 1
more 1
mr 3
narrative 1
nascent 1
navy 1
neighbor 1
new 1
next 1
north 1
note 1
novel 3
now 1
nursed 1
odds 1
of 25
on 2
one 1
opens 1
opinions 1
orphaned 1
out 1
overtures 1
partly 1
party 1
paul 4
penniless 1
pirate 2
place 1
plain 1
plans 1
political 3
post 1
pride 1
principal 1
protagonist 2
purported 1
raised 1
realistic 1
recovery 1
rejected 1
rejecting 1
represented 1
republic 1
rescued 2
respected 1
result 1
resumes 1
returns 1
reversals 1
revolutionary 1
richard 20
risks 1
road 1
romantic 1
sailing 1
saving 1
scheming 1
schooldays 1
scotland 1
sea 1
second 1
sections 1
sees 2
serapis 1
set 1
sets 1
seven 1
severely 1
she 1
ship 2
shunned 1
sinks 1
six 2
society 2
solway 1
speak 1
sponginghouse 1
stamp 1
start 1
sudden 1
summary 1
survives 1
swain 2
sweetheart 1
take 1
taken 1
tax 1
tends 1
that 5
the 52
their 2
them 1
there 1
they 4
third 1
three 1
through 2
to 14
tormented 1
tricked 1
tricks 1
turn 1
tutor 1
two 2
unchanged 1
uncle 2
values 1
vauxhall 1
views 1
visits 1
volume 12
volumes 1
vows 1
wager 1
walpole 1
war 2
washington 1
way 1
wealthy 1
where 4
which 2
while 1
who 1
windsor 1
with 10
witnesses 1
wounded 2
wrote 1
years 2
