72398
/m/0jjff
/m/0jjff
Rudyard Kipling

{"/m/08g5mv": "Lost World", "/m/08sdrw": "Adventure novel"}
a 21
acclaimed 1
adventurers 2
against 1
alexander 1
all 1
along 1
amazing 1
an 3
and 17
any 1
appear 1
are 1
areaas 1
army 2
as 4
ask 1
asylum 1
at 3
back 1
bareheaded 1
be 1
because 2
becoming 1
been 1
beggar 1
begged 1
belongings 1
best 1
between 1
big 1
billy 1
bit 1
blackmail 1
blackmailing 1
bleed 1
books 1
bridge 1
british 1
broken 1
building 1
but 4
can 1
captured 1
carnehan 8
chief 2
clad 1
compositor 1
considered 1
contractors 1
crawling 1
creeps 1
cried 1
crippled 1
crown 2
crucified 1
cut 1
daniel 1
dashed 1
day 3
days 1
death 1
decided 2
defeat 1
defected 1
devil 1
died 1
dravot 9
dreaming 1
enemies 1
enginedrivers 1
enough 1
fair 1
favor 1
fell 1
fellow 1
few 2
find 1
finding 1
fish 1
for 4
form 1
found 1
freemasons 1
friends 1
from 1
girl 2
go 2
god 3
golden 1
gone 1
gorge 1
great 1
hairy 1
half 1
hands 1
has 1
hat 1
have 4
he 11
head 1
help 1
her 1
him 7
himself 1
his 8
hot 1
hour 1
in 8
india 2
indiakipling 1
indian 1
inquires 1
into 1
is 3
it 2
journalist 1
just 1
kafir 1
kafiristan 1
kafirs 6
king 1
kings 3
kiss 1
knew 1
lahore 1
later 3
learns 1
leaves 1
let 1
likes 1
local 1
loyal 1
mad 1
man 2
maps 1
marry 1
marrying 1
martinihenry 1
masonic 2
meets 1
men 1
midday 1
minor 1
miracle 1
months 1
more 1
most 1
muslims 1
mustering 1
name 1
narrator 6
nation 1
native 2
neither 1
next 2
nicknamed 1
night 1
no 1
noon 1
nor 1
not 2
of 11
off 2
office 2
old 1
oldest 1
on 3
one 1
only 1
or 2
out 1
over 3
pagans 1
pass 1
peachey 1
perhaps 1
petty 1
photographer 1
pine 1
plan 2
practiced 1
priest 1
priests 1
proof 1
rags 1
railroad 1
rajah 1
rather 1
remained 1
remembered 1
rifles 1
ritual 1
road 1
rope 1
ropes 1
sailor 1
scheme 1
schemes 1
scorching 1
scruffy 1
secrets 1
seeing 1
sees 1
sends 1
set 1
shaking 1
shows 1
so 1
soldier 1
some 1
son 1
spoiled 1
states 1
still 1
stood 1
stops 1
story 2
succeeded 1
summer 1
sun 2
sunstroke 1
survived 1
take 1
taking 1
tale 1
tell 1
tells 1
terrified 1
that 3
the 33
their 3
them 3
themselves 2
then 3
they 9
to 9
tour 1
trees 1
tried 1
turn 1
turned 1
twenty 1
two 5
typesetter 1
unified 1
up 1
use 1
villages 1
was 3
way 1
wearing 2
were 4
when 4
while 2
white 2
who 2
whom 1
will 1
with 3
world 1
years 1
