12560485
/m/02wvx0g
/m/02wvx0g
Ian Irvine
2007-06
a 1
against 1
and 4
are 2
back 1
be 1
before 1
big 1
book 1
buried 1
but 1
children 2
citadel 1
city 1
codex 1
defence 1
descend 1
dreadful 1
even 1
ever 1
evil 1
face 1
find 1
finds 1
giant 1
has 2
he 1
his 2
if 1
iltior 1
in 1
is 1
jones 1
journey 1
lord 2
lost 1
magic 1
mariam 1
most 1
must 1
mystery 1
nightmare 1
no 1
of 5
once 1
pole 1
put 1
returned 1
runcible 3
scorpion 1
series 1
shambles 2
sorcery 1
spells 1
still 1
sting 1
stop 1
stronger 1
tainted 1
terrifying 1
than 1
the 10
then 1
there 1
they 2
to 4
trouble 1
two 1
unravel 1
uttermost 1
will 1
