10591258
/m/02qjnnh
/m/02qjnnh
Jack Vance
1974
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/02xlf": "Fiction"}
a 4
actually 1
after 1
against 1
agrees 1
ambush 1
ambushed 1
an 2
ancient 1
and 12
are 7
arrives 1
arriving 1
as 1
at 2
attack 2
barons 5
be 1
before 2
better 1
built 1
but 3
by 6
campaign 1
chastens 1
claim 2
claimants 1
combat 1
combative 1
committee 1
consistent 1
control 1
country 1
decorations 1
decree 2
defeat 3
defeated 1
defy 1
demanded 1
depict 1
depot 1
destroying 1
discover 2
domain 2
effete 1
either 1
else 1
encounters 1
erjin 4
erjins 6
escorts 1
even 1
experience 1
explains 1
exploring 1
exported 1
fact 2
father 1
find 1
first 2
fly 1
for 1
form 1
found 1
from 3
fully 1
furthermore 1
gerd 3
give 2
glissam 3
go 1
has 3
have 1
he 4
however 1
hundred 1
in 6
incited 1
incites 1
including 1
inhabitants 2
into 1
invade 1
is 4
its 1
jemasze 1
jerd 3
joke 3
jorjol 2
just 1
kelse 2
killed 2
koryphon 1
kurgech 1
land 7
larger 1
learn 1
learned 1
madduc 3
madducs 1
makes 1
masters 1
meet 1
met 1
militia 2
moment 1
morningswake 4
morphotes 3
mounts 2
mull 3
near 1
now 1
of 8
offworld 1
oldest 1
on 1
or 1
order 3
ordered 1
others 1
own 2
palga 2
part 1
persist 1
reach 1
reformers 1
rest 1
retent 3
return 1
returning 1
returns 1
reveals 1
revoke 1
riders 1
rightful 1
said 1
same 1
schaine 2
school 1
second 1
secret 1
seize 1
sentient 2
servitors 2
several 1
shipped 1
should 1
shows 2
similar 1
slaveowners 1
so 1
some 1
something 1
south 1
spaceships 1
speaking 1
splendid 1
submission 1
supposed 1
survive 1
szintarre 2
szintarrese 3
tamed 1
tells 1
temple 6
that 8
the 40
their 8
them 3
there 3
they 7
this 3
to 15
turn 1
uaia 4
uldra 2
uldras 6
up 1
uprising 1
uther 5
various 1
very 1
visit 1
warriors 1
was 2
well 1
were 2
what 1
where 1
which 2
who 4
windrunners 2
with 3
yield 1
