4456093
/m/0c3fh9
/m/0c3fh9
Margaret Weis

{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/02xlf": "Fiction"}
a 4
abandoned 1
about 2
after 2
amber 1
an 1
and 10
ansalon 1
are 3
as 2
ashes 1
at 1
back 1
balance 1
begins 2
beloved 1
brooding 1
but 1
can 1
cause 1
caused 1
changing 1
chemosh 3
communicate 1
create 1
cult 1
dead 1
deadjoin 1
death 2
end 1
entire 1
evil 2
failure 1
for 1
forces 1
fragile 1
galdar 1
goddess 1
gods 2
grieving 1
growing 1
guise 1
has 1
her 3
heroesa 1
herself 1
himself 1
his 2
in 3
intervenes 1
is 5
it 2
kender 1
kill 1
krynn 1
living 1
loss 1
lover 1
magic 1
makes 2
mina 3
misery 1
monk 1
mysterious 1
nations 1
obtaining 1
of 8
on 2
opposed 1
pact 1
pantheon 1
plans 1
plot 1
power 1
rule 1
seductive 1
seen 1
servants 1
set 1
shortly 2
so 1
souls 1
spreads 1
strange 1
supremacy 1
takhisis 2
talking 1
temple 1
that 1
the 18
then 1
throughout 1
to 7
try 1
unlikely 1
uproot 1
uprooting 1
vampiric 1
vying 1
war 2
warriorwoman 1
wayward 1
when 1
who 1
widespread 1
with 3
world 1
