15673453
/m/03np9d6
/m/03np9d6
Zoey Dean
2008-04-02
{"/m/05hgj": "Novel"}
24 1
a 21
about 11
actors 1
actually 1
adam 5
after 3
agree 1
agrees 2
airplane 1
airport 2
alist 2
all 2
also 2
always 1
an 2
and 44
angry 1
anna 27
announces 3
anything 1
apologizes 2
are 5
around 1
as 2
asks 1
at 9
attending 2
attends 1
away 1
back 3
balcony 1
bali 3
ball 1
be 12
because 2
been 1
before 1
begins 2
ben 9
between 1
big 1
biggest 1
boat 2
book 2
books 1
break 1
bridesmaid 3
busy 1
but 13
by 2
bye 4
call 3
callher 1
calling 1
calls 1
cammie 15
can 4
cant 1
case 1
catches 1
cause 1
causes 1
change 1
changed 1
changes 1
childhood 1
chilean 1
club 5
coffee 1
college 1
comes 2
confronted 1
connection 1
consuela 1
conversation 1
convince 1
country 1
crushes 1
dad 4
day 2
deal 1
decide 1
decides 3
decision 3
dee 4
designed 1
designer 1
did 1
different 1
dina 1
dinawhom 1
direct 1
disagrees 1
disappointed 1
discussing 1
does 1
doesnt 2
done 2
dream 1
dress 2
drinks 1
ecstatic 1
eduardo 10
either 1
emergency 1
encounter 1
ends 1
enters 1
estranged 1
excited 2
fact 1
father 3
feet 1
few 1
fiancee 1
film 1
final 1
find 2
finish 1
first 1
fitting 1
flight 1
flood 1
for 10
free 1
friend 1
friends 1
from 5
fulfilling 1
get 6
gets 2
getting 1
giselle 1
give 1
go 1
goes 9
going 4
got 3
gotten 1
grab 1
had 2
happy 1
has 3
hasnt 1
have 3
having 2
he 12
heads 1
hearttoheart 1
helicopter 1
help 2
hematoma 1
her 34
herself 1
hesitant 1
him 9
his 3
hit 1
hollywood 2
home 1
honor 3
hospital 3
hours 1
how 1
huge 1
if 6
in 14
indeed 1
inside 1
insists 1
instead 1
interested 2
invitation 1
is 23
it 10
jackson 1
jealous 1
jitters 2
just 3
keep 1
kiss 2
kissing 1
knew 1
know 1
la 1
laptop 1
last 2
later 3
leave 2
leaves 1
leaving 1
lesbian 1
life 1
lifeto 1
listening 1
logan 8
loses 1
love 3
loves 1
maid 3
make 5
makes 2
manhattan 1
maritson 1
marriage 1
married 4
martisona 1
marty 2
meanwhile 1
meet 3
meeting 1
meets 2
met 1
michigan 1
mind 1
mom 1
moment 1
monday 1
morning 1
mother 2
move 1
movie 3
nails 1
nearby 1
never 2
new 3
news 1
next 1
nods 1
none 1
not 9
novel 1
of 8
on 11
one 1
only 4
orientation 1
other 1
others 2
out 3
parents 3
parentsjackson 1
paris 2
pedro 1
percy 1
perfect 1
phone 1
picks 1
place 1
plan 1
plane 2
planning 1
plans 1
playing 1
pomona 1
prewedding 2
problem 1
producer 1
producers 1
read 3
ready 1
receives 1
reconnect 1
regretted 1
rehearsal 2
rekindle 1
relationship 1
remarried 1
response 1
responsibilities 1
reveals 1
romantic 1
royalty 1
ruin 1
safe 1
safely 1
sam 29
saturday 1
saying 4
says 1
school 3
screenplay 3
second 3
see 1
seems 1
sees 3
sends 1
series 1
setting 1
sharing 1
sharpe 1
she 36
shockedsam 1
should 1
show 1
showed 1
shows 3
since 2
sister 1
so 4
sorry 1
spots 2
stage 1
star 1
start 1
started 1
starts 2
staying 1
still 2
subdural 1
support 1
surprised 2
surprisingly 1
susan 1
suspects 1
talk 1
talking 1
television 2
tell 1
tells 9
tennis 1
than 1
that 13
the 40
their 6
them 1
there 3
they 8
theyve 1
thing 2
things 2
thinks 1
this 1
thought 1
thoughts 3
title 1
to 51
together 3
told 1
too 2
touch 1
troubled 1
trying 1
turns 3
two 1
undecided 1
unexpectedly 1
unfortunately 1
up 11
usc 2
very 1
waiting 1
wakes 1
walks 1
want 2
wanting 1
wants 2
was 5
watching 1
way 1
wedding 4
week 1
weird 1
well 1
when 8
which 5
while 6
who 9
whom 1
why 1
will 5
wish 1
with 22
wonder 1
worried 1
would 2
writing 1
yale 3
young 1
