796291
/m/03cr1j
/m/03cr1j
Gregory Benford
1980
162 1
162163 1
163 1
174 1
18 6
180 1
22 1
234 1
a 28
absorbed 1
achievement 1
advance 1
advanced 1
affects 1
against 1
agriculture 1
aim 1
albert 1
algal 2
also 6
alternate 2
american 1
an 6
and 19
anomalous 1
antimonide 1
apex 1
appearing 1
are 4
as 5
assassination 1
assistant 1
astronomical 3
at 3
attacking 1
attempt 1
attempts 1
author 1
avoid 1
awards 2
awry 1
based 1
be 4
been 1
before 2
being 1
believes 1
benford 1
bernstein 12
biological 1
biology 1
bioterrorism 1
bleak 1
bloom 2
blooms 1
bobby 1
book 1
box 1
brink 1
building 1
built 1
bursts 1
but 1
by 4
california 2
cambridge 1
candidacy 1
case 1
cases 1
ceremony 1
chapter 1
chapters 1
characters 1
city 1
clear 1
close 1
clouds 2
code 1
coherent 2
columbia 1
coming 1
concluding 1
conditions 1
connected 1
consequences 1
contact 1
containing 1
continues 1
controlled 1
cooper 2
coordinates 2
copy 1
council 1
country 1
crash 1
creates 1
creating 1
crisis 2
cycle 1
dallas 1
danger 1
decision 1
defeated 1
denied 1
deposit 1
depository 1
despairing 1
diebacks 1
diego 1
difficulties 1
disaster 2
disasters 1
discover 1
discovers 1
discovery 1
dispatch 1
does 1
drake 1
due 4
earth 2
ecological 3
effectively 1
efforts 4
ends 1
englishman 1
enough 2
enrico 1
entirely 1
equidistant 1
event 1
events 2
exacerbates 1
examination 1
expected 1
experience 1
experiences 1
experiment 2
experimentation 1
extinctions 1
extraterrestrial 1
f 1
fail 1
failing 1
fails 1
farmhouse 1
faster 1
fasterthanlight 1
fatal 1
fermi 1
fictional 1
final 1
findings 2
finds 1
first 1
fly 1
flying 1
follows 1
food 1
for 2
forever 1
form 1
fortified 1
fragments 1
frank 1
from 5
future 1
generator 1
get 1
girlfriend 1
give 2
given 2
gives 2
giving 1
goes 2
gordon 2
grandfather 1
gregory 1
group 1
harvey 1
has 2
have 3
having 1
he 7
held 1
high 1
himself 1
hinting 1
hints 1
his 8
honored 1
however 2
human 1
ian 1
ignore 1
impending 1
in 29
including 2
indicating 1
indium 1
information 1
initially 1
injured 1
intensified 1
intercepted 1
interruption 1
interrupts 1
into 1
is 20
isaac 1
it 7
john 2
jolla 2
jumbled 1
keep 1
kennedy 4
killed 1
kingdom 1
la 2
laboratory 1
lakin 1
large 1
led 1
lee 1
letters 1
life 1
light 1
likely 2
made 1
making 1
markham 2
material 1
meaning 1
meanwhile 1
mediums 1
member 1
mentioned 1
mentioning 1
message 9
messages 4
michael 1
military 1
modeled 1
monumental 1
more 3
morse 1
most 1
nature 3
new 1
noise 3
not 1
noticeable 1
novel 2
november 1
now 1
nuclear 1
observed 1
obviously 1
occupied 1
of 27
on 10
one 2
origin 1
original 3
originally 1
oswald 1
other 1
out 4
overseeing 1
overseer 1
ozma 1
paper 1
paradox 3
passing 1
past 5
pending 1
penny 1
peterson 3
physics 2
piece 1
pilots 1
place 1
plane 1
planet 1
poisoning 1
portray 1
position 1
prepared 1
president 2
prize 1
professor 2
project 2
promotion 1
public 2
publication 1
publishes 1
purportedly 1
ramsey 3
ravaged 1
reach 1
realizes 1
received 1
receives 4
recovers 1
refuses 1
relating 1
relationship 1
renfrew 2
replicates 1
represent 1
represents 1
researchers 1
resonance 1
result 2
resulting 2
results 1
retreats 1
rewarded 1
riots 1
safe 1
said 3
san 1
saul 1
scale 1
scandal 1
school 2
science 1
scientist 2
scientists 2
scranton 1
second 1
seizures 1
send 1
sending 2
sent 1
sentence 1
seriously 1
set 3
shares 2
shooter 1
shot 1
shriffer 3
signal 6
signals 2
since 1
skeptical 1
solar 1
solid 1
solved 1
solving 1
soon 1
soviet 1
spontaneous 1
spreading 1
staccato 1
start 1
states 2
stemmed 1
story 1
storyline 1
strange 1
student 3
such 2
survival 1
survives 1
tachyon 2
tachyoninduced 1
taking 1
tapping 1
teacher 1
team 1
telephone 1
terrorism 1
texas 1
than 1
that 7
the 78
their 4
theory 1
there 1
these 3
thinks 1
third 1
this 5
though 1
thread 3
through 2
thus 1
timed 1
timeline 1
to 25
toll 1
too 1
took 1
true 1
two 1
ucsd 1
understand 1
united 3
universe 1
university 3
unnecessary 1
until 1
up 1
using 1
various 1
viewpoints 1
viral 2
wants 1
warn 1
water 1
way 1
well 2
were 1
when 2
where 2
which 2
while 1
who 3
whose 1
widespread 1
will 3
william 1
with 7
womanizing 1
work 1
worked 1
working 1
world 2
wouldbe 1
written 1
year 1
yellow 1
york 1
young 1
