2379539
/m/077st3
/m/077st3
Judith Reeves-Stevens

{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
6 1
a 13
able 4
accompanied 1
acts 1
actual 1
actually 1
admiral 1
advantage 1
advisor 1
after 2
against 2
alien 1
all 1
alliance 4
already 1
also 2
although 1
always 2
an 4
and 17
another 1
appears 1
are 5
around 2
as 6
assimilate 2
assimilated 1
assumed 1
attacked 1
attempting 2
back 2
bashir 2
be 2
beam 2
been 1
begins 1
believe 2
beverly 1
board 1
body 2
borg 15
borgromulan 2
bring 1
burial 1
but 4
by 7
calm 1
can 1
captain 1
captured 3
cataclysmic 1
cause 1
central 2
collective 4
colony 1
commander 1
commands 2
communication 1
conditioning 1
confrontation 1
crew 1
crusher 1
dampening 1
data 1
deactivated 1
dead 1
dealing 1
debate 1
deep 1
defeat 1
defense 1
defiantclass 1
despite 1
destroy 2
device 1
did 1
directly 1
distraction 1
division 1
do 1
does 1
down 2
dr 2
drive 1
drives 1
during 2
each 1
effectively 1
efforts 1
empire 1
enterprise 4
enterprised 1
escape 1
even 1
events 1
eventually 1
ever 1
every 2
expedition 1
explains 1
explosion 2
false 2
federation 3
fellow 1
first 1
fitter 1
fleet 1
for 4
forge 1
formed 1
former 1
freely 1
friend 1
from 2
generations 1
geordi 1
give 1
gives 1
go 1
goal 1
hands 1
has 1
have 1
he 2
hero 1
him 5
his 8
holodeck 1
homeworld 2
however 2
iii 1
implant 1
implanted 2
in 11
is 10
james 1
jeanluc 1
joint 1
julian 1
katra 1
kill 3
kirk 11
knock 1
knows 1
la 1
leading 1
learn 2
learns 1
leonard 1
let 1
lever 2
life 1
link 2
location 1
locutus 1
maintain 1
making 1
mccoy 3
meld 3
memories 3
mind 2
mindmelded 1
mission 1
motion 2
move 1
neutralizes 1
neutralizing 1
nine 1
node 3
not 3
novel 1
of 11
on 4
once 1
one 1
only 1
operates 1
operation 1
order 1
original 1
other 1
out 1
participating 1
perform 1
picard 10
picture 2
place 1
planet 3
process 1
pull 1
pulls 1
reason 1
recreation 1
remove 1
removed 1
renamed 1
resist 1
responsible 1
restored 1
result 1
retains 1
riker 1
romulan 1
romulans 2
sacrifice 1
search 2
second 1
secret 1
seen 1
senior 1
sense 1
separate 1
sever 1
ship 2
shortly 1
simultaneously 1
since 1
some 1
space 1
spock 7
staff 1
star 3
starfleet 3
starship 1
still 1
stolen 2
strike 1
sudden 1
surgery 1
t 1
takes 2
taking 2
team 1
technology 1
thanks 3
that 4
the 55
their 2
them 2
themselves 1
then 1
there 1
therefore 1
they 9
this 4
time 1
to 24
trace 1
track 1
transwarp 1
travel 1
trek 2
triggers 1
turn 1
unable 1
unconscious 1
up 1
upgraded 1
using 2
uss 1
veridian 1
vessel 2
vger 2
voyager 1
was 3
watches 1
wave 1
what 1
when 2
where 1
which 2
while 1
who 2
whoever 1
whom 1
why 1
will 6
william 1
with 4
worf 1
work 1
younger 1
