5846068
/m/0f8r87
/m/0f8r87
Robert Mason

a 9
aberrant 1
able 1
about 1
all 3
allow 1
although 1
and 10
another 1
any 1
are 2
as 3
assigned 1
attempts 1
battle 1
be 1
begins 2
behaviour 1
being 1
blank 1
brain 1
by 2
capable 1
carefully 1
cases 1
clear 1
come 1
computer 1
conflicts 1
consider 1
control 1
could 1
depend 1
describes 1
designed 1
designer 1
designers 2
despite 1
details 1
developed 1
developing 1
difficult 1
discovered 1
display 1
do 2
does 1
edited 1
endurance 1
entirely 1
equipment 1
example 2
fearful 1
feats 1
for 4
forthcoming 1
friendship 1
genuinely 1
good 1
governed 1
great 1
group 1
guys 1
he 5
hesitancy 1
him 2
his 6
history 1
human 5
humanoid 1
importantly 1
in 7
indoctrination 1
initially 1
insist 1
is 13
it 2
kill 1
learn 1
lost 1
make 1
military 4
mission 3
more 1
most 1
much 1
network 1
neural 1
new 1
nicaraguan 1
not 1
novel 2
occasionally 1
of 6
on 3
one 1
order 1
orders 1
person 1
point 1
politics 1
potentially 1
protection 1
question 1
real 1
reasons 1
recapture 1
recognises 1
refuse 1
refuses 1
replace 1
robot 3
session 1
shape 1
shoot 1
sniper 1
so 1
soldiers 2
solo 12
speed 1
states 1
strength 1
such 1
system 1
target 2
that 5
the 16
therefore 1
think 1
this 1
titular 1
to 13
told 3
training 2
trust 1
unambiguously 1
united 1
unpredictable 1
us 3
use 1
vehicles 1
version 1
victory 1
vietnam 1
villagers 2
war 1
weapon 1
what 1
which 2
whilst 1
who 1
winners 1
with 1
won 1
world 1
worryingly 1
