19608482
/m/04mzvst
/m/04mzvst
Theresa Breslin
1994-08
{"/m/0dwly": "Children's literature"}
a 8
actually 1
after 1
agrees 1
alcoholics 1
all 1
also 2
although 1
amy 1
an 2
and 8
anonymous 1
at 3
attend 1
awoken 1
bad 1
be 2
become 1
begins 1
behaviour 1
being 1
between 1
book 1
boy 1
bullied 1
buried 1
but 1
by 4
change 2
chest 1
class 1
considered 1
construction 1
council 1
daughter 1
discovers 1
discussion 1
drawn 1
dreams 1
drinks 1
driven 1
dyslexic 2
encouragement 1
end 1
evil 1
father 4
follows 1
for 1
form 1
friendship 1
from 2
get 1
goes 1
graveyard 4
ground 1
has 4
he 9
hear 1
hears 1
help 1
helped 1
her 3
him 3
himself 1
his 8
home 1
hunt 1
in 2
intent 1
is 12
it 3
knows 1
last 1
later 1
lazy 1
leaves 1
life 2
local 1
malefice 1
manages 1
marked 1
means 1
miller 2
ms 1
mysterious 2
neglects 1
night 1
of 5
official 1
often 1
on 1
one 2
overhearing 1
perhaps 1
place 1
possess 1
presence 1
primary 1
professor 2
promotion 1
protect 1
protective 1
refuge 1
rescue 1
revealed 1
rowan 1
save 1
school 3
scottish 2
seems 1
she 1
site 1
solomon 3
special 1
spend 1
struck 1
struggle 1
stupid 1
swallowed 1
talmur 1
teacher 1
teachers 1
that 3
the 18
there 1
though 1
throughout 1
time 1
to 13
tree 1
tries 1
unearthing 1
up 2
uphill 1
uprooted 1
upset 1
vengeance 1
victim 1
when 1
which 1
whispers 1
who 4
will 1
witch 1
witchcraft 1
with 4
witnesses 1
word 2
workmen 2
year 1
young 1
