3535651
/m/09k1gq
/m/09k1gq
David Sherman
2000
34th 1
a 6
able 1
agents 1
and 2
apparently 1
are 2
as 1
back 1
base 1
be 1
been 2
being 1
brigadier 1
brought 1
by 1
can 1
captives 1
careerendangering 1
channel 1
claypoole 1
command 1
commander 1
company 1
confederation 1
considered 1
control 1
corporal 1
corporals 1
corps 1
dean 1
earth 1
enforcement 1
even 1
explored 1
facts 1
find 3
fist 2
for 1
gangsters 1
goes 1
hardship 1
havanagas 1
have 2
he 1
headquarters 1
human 1
humans 1
immediately 1
in 1
instead 1
invasion 1
is 2
it 1
justice 1
kingdom 1
l 1
laborers 1
lance 1
law 1
leave 1
marine 1
marines 1
mdash 2
mission 1
mob 1
mobcontrolled 1
nobody 1
not 1
occupied 1
of 7
on 3
only 1
ostensibly 1
out 2
partially 1
pasquin 1
planet 1
plotline 1
post 1
potentially 1
pretechnological 1
proof 2
quarantined 1
quietly 1
race 1
resort 1
reveals 1
rotated 1
scary 1
secret 1
secure 1
seems 1
sent 1
sentient 1
skinks 3
so 1
some 1
staging 1
sturgeon 1
take 1
that 2
the 10
third 1
this 1
though 1
three 1
to 8
travels 1
trip 1
under 1
unit 1
use 1
vacationing 1
very 1
visit 1
why 1
with 1
world 3
