19801226
/m/04q0pzn
/m/04q0pzn
Patrick Hamilton
1947
{"/m/05hgj": "Novel"}
143 1
a 12
after 1
aging 1
also 1
american 1
an 1
and 10
appear 1
are 1
around 1
arrival 1
as 4
at 4
atmosphere 1
barrett 1
based 1
be 3
becomes 3
beginning 1
begins 1
bench 1
between 1
blitz 1
bore 1
both 1
by 2
capacities 1
centred 1
charms 1
city 1
comedian 1
conducted 1
described 1
describes 1
dinner 1
disrupted 1
drawing 1
dull 1
during 1
emotional 1
evening 1
every 1
expelling 1
experiences 1
fictional 1
firm 1
follows 2
forces 1
friend 2
german 1
great 1
guest 2
guests 1
having 1
hell 1
henleyonthames 1
her 1
house 2
however 1
in 10
insists 1
into 2
involved 1
is 5
it 1
its 1
kissing 1
kugelman 2
largely 1
leading 1
left 1
lieutenant 1
life 1
lives 1
local 1
lockden 1
london 3
love 1
lungs 1
meal 1
meals 1
miss 10
mock 1
monster 1
morning 1
moves 1
mr 5
nazi 1
novel 1
of 5
on 2
one 1
opening 1
opportunity 1
oppressed 1
oppressive 1
other 1
overbearing 1
partake 1
pike 1
presented 1
president 1
prest 1
pub 1
publishing 1
relationship 2
residing 1
respiring 1
retired 1
revealed 1
rival 1
roach 7
romantically 1
rooms 3
rosamund 3
russians 1
secretary 1
sequence 1
servicemen 1
set 1
shared 1
she 2
shown 1
soon 3
sort 1
spinsters 2
steele 1
struggle 1
sympathiser 1
takes 1
tea 3
thames 1
that 1
the 19
them 2
then 1
there 1
this 2
through 1
thwaites 4
times 1
to 5
town 1
two 2
uncomplicated 1
vicki 1
who 3
with 1
workers 1
works 1
