10308940
/m/02q81lv
/m/02q81lv
Rajiva Wijesinha
1985
{"/m/05hgj": "Novel"}
183 1
a 3
acts 1
and 3
as 1
asian 1
at 1
attention 1
background 1
book 1
caste 1
characterize 1
class 1
close 1
critique 1
dominate 1
explores 1
faith 1
family 1
humor 1
in 2
is 1
issues 1
lanka 2
manipulation 1
media 1
motivations 1
nations 1
observed 1
of 4
other 1
particularly 1
personal 1
political 1
provides 1
race 1
racy 1
riots 1
rivalries 1
same 1
satirical 1
social 1
societies 1
sri 2
stateincited 1
structures 1
such 1
terms 1
that 1
the 6
there 1
time 1
to 1
underneath 1
using 1
violence 1
which 1
