21111369
/m/05b_c7l
/m/05b_c7l
César Aira
1990
a 2
again 1
aires 1
an 1
and 5
apartment 2
as 1
away 1
back 1
becomes 2
buenos 1
by 1
cadre 1
complex 3
construction 1
date 1
daughter 2
detachment 1
family 3
fixated 1
floors 1
for 1
ghosts 4
haunt 1
her 1
in 2
is 1
its 1
life 1
luxury 1
members 1
more 1
most 1
nefarious 1
obsession 1
of 4
on 1
opening 1
place 1
react 1
set 1
shared 1
specters 1
squatters 1
story 1
takes 1
teenage 1
that 2
the 10
threatens 1
to 1
towards 1
ultimately 1
unfinished 1
weaves 1
while 1
with 2
workers 1
