472097
/m/02vk5zl
/m/02vk5zl
Isaac Asimov
1993-11
{"/m/06n90": "Science Fiction", "/m/02xlf": "Fiction"}
a 10
abandoning 1
acknowledge 1
allowed 1
allows 1
also 1
an 2
and 9
andrew 10
animals 1
anniversary 1
any 1
are 5
as 7
asimov 1
assist 1
avoid 1
awkward 1
background 1
become 1
begins 1
being 1
better 1
book 1
brain 2
but 1
by 5
centralized 2
century 1
characteristics 1
citing 1
components 1
confidant 1
control 1
creation 2
creations 1
creative 1
creativity 2
decay 1
declared 1
degree 1
demonstrate 1
departure 1
detailed 1
developed 1
development 1
display 1
duties 1
each 1
earth 1
emotion 1
event 1
events 1
eventual 1
experiences 1
family 5
fictional 1
film 1
for 2
fortune 1
friend 1
from 4
full 1
generations 1
gradually 1
has 1
he 4
hence 1
him 1
his 10
household 2
however 1
human 3
humanity 2
humans 1
i 1
immortality 1
in 6
inanimate 1
including 1
indication 1
influenced 1
initial 2
intended 1
is 7
known 1
laborers 1
lack 1
later 1
leads 1
leasing 1
legal 1
life 1
limited 1
line 1
making 1
man 1
martin 6
mechanical 2
member 1
men 1
moments 1
more 3
movement 1
much 1
mundane 1
ndr113 1
ndrseries 1
no 1
novella 1
objects 1
of 12
off 1
on 2
ones 1
only 1
organic 1
outlined 1
output 1
owned 1
perspective 1
place 1
positronic 3
practice 1
prepared 1
process 1
processing 1
protection 1
province 1
pursue 1
quest 1
recognition 1
replacing 1
replete 1
revolutionizes 1
robot 6
robotic 1
robotics 1
robots 5
seeks 1
selfawareness 1
selfreflecting 1
selling 1
sentient 1
series 1
servant 1
socialization 1
stemming 1
story 2
succeeding 1
such 2
taken 1
takes 1
than 1
that 1
the 20
their 1
there 1
thereby 1
they 2
this 1
title 1
to 8
told 1
towards 1
traditionally 1
transformation 1
trends 1
trusted 1
twentyfirst 1
twohundredth 1
us 1
usual 1
was 1
what 1
when 1
which 3
willfully 1
with 5
would 1
yet 1
