16455226
/m/03y6ch9
/m/03y6ch9
Theresa Breslin
2006-08-03
{"/m/03mfnf": "Young adult literature"}
1502 1
accompanies 1
across 1
ambition 1
and 5
artist 1
as 2
barta 1
borgia 1
both 1
boy 1
by 1
castell 1
cesare 1
continues 1
da 2
dellorte 1
drowning 1
first 1
florence 1
friends 1
from 1
hand 1
he 2
him 1
his 2
in 1
is 1
italy 3
knowledge 1
leonardo 2
magnificent 1
many 1
matteo 2
medici 1
milan 1
of 4
other 1
paints 1
pictures 1
places 1
pursues 1
renaissance 1
revenge 1
rule 1
ruthless 1
saved 1
scholar 1
seeing 1
serving 1
soon 1
story 1
takes 1
the 7
travels 1
under 1
vinci 2
wing 1
