6119849
/m/0fr3k9
/m/0fr3k9
John Bellairs
1969
{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy"}
a 19
accessible 1
across 1
actual 1
aforementioned 1
after 2
agents 1
alive 1
all 1
also 1
an 6
and 12
another 1
appearing 1
are 1
armed 1
army 1
as 2
at 6
attack 2
attempts 1
back 1
bacon 1
ball 1
basement 1
be 2
becomes 1
been 1
begin 1
begins 1
belongs 1
besieged 1
blocked 1
book 4
border 1
bridge 1
buried 2
but 2
by 5
called 1
can 1
checking 1
claims 1
clientele 1
cold 1
comes 1
concerning 1
cooperation 1
country 1
create 1
created 2
creature 1
crystal 1
cursed 2
day 2
dead 1
defeats 1
designs 1
destination 1
destroying 1
determine 1
dials 3
different 1
discover 1
discovers 2
discuss 2
do 1
down 1
early 2
edge 1
empty 1
end 1
england 1
entire 1
entrance 1
escape 1
escapes 1
escaping 1
especially 1
evening 1
evil 1
feels 1
find 5
finds 1
five 3
flees 2
following 2
follows 1
for 2
force 1
former 1
friend 1
from 3
fully 1
glass 1
gradually 1
green 1
grove 2
guard 1
has 2
have 4
he 11
herbalist 1
here 1
him 1
his 3
home 2
house 2
ill 1
illusion 1
in 10
inn 4
innkeeper 1
intends 1
into 1
is 9
it 1
item 2
kept 1
killed 1
kind 1
knife 1
large 1
last 2
late 1
lately 1
lets 1
library 3
lone 1
luckily 1
magical 2
meet 1
meets 1
melichus 13
mentioned 1
model 1
monk 1
morning 1
mysterious 3
narrowly 1
nearby 1
necessary 1
neither 1
night 2
normal 1
not 1
now 1
of 9
old 1
on 3
once 3
one 3
only 4
opens 1
other 2
others 1
out 1
outside 1
over 1
paperweight 3
particularly 1
permanent 1
person 1
phenomena 1
point 1
possess 1
power 1
presumably 1
presume 1
presumes 1
prospero 10
prosperos 2
receives 1
records 1
regain 1
resembling 1
returns 1
reunited 1
rival 1
roger 6
room 1
rooms 1
sailing 1
seal 1
searching 1
seems 1
sent 1
servants 1
sets 1
share 1
ship 1
shrinking 1
since 1
site 1
size 1
sleep 1
small 1
some 3
somewhat 1
sort 1
spends 1
staff 1
stands 1
staying 1
stays 1
steal 1
still 1
story 2
stream 1
studying 1
subsided 1
summer 1
supposed 1
suspicious 1
takes 1
that 9
the 40
their 2
them 3
themselves 1
there 2
therefore 1
they 11
those 1
though 1
through 2
thwart 1
to 17
together 1
town 3
transpired 1
transported 1
travel 1
traveling 1
travels 2
two 2
unable 1
underground 1
uneasy 1
unexpected 1
unfortunately 1
unseasonably 1
unsettling 1
until 1
unusual 1
using 1
via 1
village 3
visit 2
was 1
way 1
weather 1
when 1
where 6
whereupon 1
which 1
while 1
who 3
why 1
will 1
winter 2
with 3
without 1
wizard 2
wizards 1
world 2
