9642190
/m/02pmvl4
/m/02pmvl4
Christopher Golden
2007-08-28
{"/m/014dfn": "Speculative fiction", "/m/03npn": "Horror", "/m/0dwly": "Children's literature"}
4 1
500 1
a 21
able 1
about 3
above 1
accuse 1
active 1
activity 1
after 2
agree 1
agreement 1
all 5
allow 1
also 1
ambassadors 1
an 6
ancient 4
and 32
any 1
anything 2
apartment 1
apocalypse 1
apprentice 1
approached 1
arbiter 1
are 2
arent 1
around 1
arrives 1
as 1
at 1
athens 1
attack 1
attacked 1
attempt 1
attitudes 1
b 1
back 1
be 4
becoming 1
before 2
beings 2
body 1
both 1
breeds 1
bring 1
bringing 1
brokenhearted 1
buffy 9
but 2
by 4
can 3
cant 1
cat 1
catherine 2
centered 1
certain 1
champion 1
chance 1
chaos 1
cheated 1
choice 1
choose 1
city 2
clear 1
come 3
completely 1
congress 6
connected 1
conquer 1
council 1
court 1
dark 4
darkness 1
decides 2
defeats 1
demon 3
demonic 1
demonis 1
demons 4
denial 1
desire 1
different 1
dimensions 2
disgusted 1
does 1
eat 1
elder 1
elsewhere 1
emotional 1
england 2
episode 1
escape 1
especially 1
even 1
every 1
failed 1
faith 1
familiar 2
few 1
find 2
finding 1
finishes 1
for 3
former 2
francisco 1
from 5
general 1
gentlemen 1
gets 1
giles 2
ginger 1
gives 1
gods 1
goes 1
golden 1
greece 1
group 1
haarmann 1
happening 1
happily 1
happy 1
harmann 1
harmful 1
has 6
have 5
having 1
he 2
head 1
heads 1
heard 1
heart 2
heeds 1
hellmouth 2
her 7
highly 1
him 1
his 2
home 1
horrified 1
horrors 1
how 1
human 1
humanity 1
hundred 1
hush 1
if 1
immediately 1
in 12
included 1
including 1
inevitable 1
interview 1
intimidating 1
is 15
island 3
it 1
kandida 4
keep 1
kennedy 2
kill 1
killers 1
knows 1
leaders 1
learn 1
leave 1
leaves 1
little 1
live 1
living 1
location 1
lover 2
maclay 1
malik 1
many 1
meanwhile 2
meet 3
meets 1
members 1
message 1
met 1
micaela 2
mind 1
minion 1
monstrous 1
much 1
must 1
named 2
nearly 1
needed 1
new 2
newbie 1
not 2
now 1
of 18
off 1
old 1
older 1
on 1
once 3
one 2
orders 1
other 1
others 1
out 1
own 1
oz 2
part 1
peace 1
place 2
plotline 1
populated 1
possibly 1
powerful 1
powers 2
promises 1
providence 6
races 1
releases 1
remeets 1
resurrect 1
resurrection 2
return 1
returns 1
reunion 4
reunited 1
revealed 1
rhode 3
ripped 1
rogue 1
san 1
sand 2
say 1
scoobies 1
scooby 1
scroll 1
season 2
send 2
session 1
seventh 1
shares 1
she 13
short 1
sisterly 1
skeptical 1
slayer 1
slayerlit 1
slayers 1
so 2
some 4
spell 1
spend 1
spring 1
start 1
starts 1
stop 1
story 2
supernatural 2
suspects 1
suspicious 1
take 1
takes 1
tara 6
teacher 1
tells 1
terms 1
that 5
the 39
their 4
them 7
then 1
there 3
they 5
things 1
this 1
time 2
to 33
toward 1
trabajo 4
travel 1
trekking 1
truce 2
truly 1
two 1
under 1
unknowingly 1
unnatural 1
until 1
up 1
upon 1
vamp 1
vampiress 2
vamps 1
very 5
wallowing 1
want 4
warriors 1
watcher 1
we 1
werewolf 1
when 1
where 1
which 4
who 6
whom 2
will 2
willow 9
witch 2
with 12
without 2
wolf 1
world 3
would 3
xander 3
years 2
