3445721
/m/09cv89
/m/09cv89
Brandon Sanderson

{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy"}
a 6
accumulate 1
almost 1
also 1
anarchy 1
and 10
are 2
arelene 1
arelon 4
aristocracy 1
armies 1
arrives 2
as 3
at 2
attempts 1
be 1
becomes 1
before 1
beginning 2
beheading 1
believe 1
beyond 1
binding 1
bodies 1
book 5
bride 1
burning 1
but 1
by 5
cannot 1
centers 1
chapters 1
characters 2
city 2
climax 1
come 2
common 1
contract 1
convert 1
converted 1
country 1
course 1
culmination 1
cursed 1
dead 3
deals 1
dereth 1
derethi 2
die 1
different 1
direct 1
do 3
downtrodden 1
drastic 1
each 3
eat 1
efforts 2
elantrian 2
elantrians 1
elantris 4
even 2
except 1
experiences 1
feel 1
fell 1
find 1
focuses 2
for 1
from 1
going 1
gradually 1
groupings 1
gyorn 1
has 1
have 1
he 3
held 1
help 1
her 1
highranking 1
his 4
hrathen 4
hunger 1
if 1
illsuited 1
improve 2
in 5
increases 1
inhabitants 1
injuries 1
intended 1
intertwine 1
intertwined 1
is 6
it 1
its 1
just 1
killed 1
legally 1
life 1
line 3
live 1
look 1
main 1
mandate 1
maneuvering 1
married 1
measures 1
member 1
merge 1
met 1
monarchy 1
months 1
mostly 1
much 1
need 1
never 1
new 1
nobility 1
not 2
occurs 1
of 14
off 1
often 1
on 6
once 1
one 2
or 3
other 1
out 2
outside 1
pain 1
pains 1
people 2
personally 1
persons 1
physical 1
place 1
plot 1
political 2
prevent 1
priest 1
prince 3
principal 1
profound 1
raoden 3
religion 3
repair 1
revolution 1
sarene 3
says 1
shaod 2
she 2
shu 1
soon 1
stabilize 1
still 1
story 4
strongly 1
struggles 2
succumbed 1
such 1
supposed 1
supposedly 1
sway 1
taken 1
terms 1
than 1
that 1
the 33
their 1
themselves 1
they 4
those 1
threads 1
three 4
throne 1
through 1
time 1
to 16
transformation 2
transformed 1
treated 1
way 1
were 1
what 1
when 1
which 3
whisked 1
whom 1
whose 1
widow 1
will 1
wipe 1
with 6
within 1
wonder 1
world 1
