4905724
/m/0cthvn
/m/0cthvn
Joe Dever
1991
a 1
against 1
aims 1
allies 1
an 1
ancient 1
and 3
artifact 2
battling 1
by 1
cause 1
close 1
control 1
darke 2
darklord 1
discovered 1
discovering 1
doomstone 1
drakkarim 1
feared 1
have 1
he 1
help 1
high 1
is 3
it 2
king 1
lencia 3
lencians 1
lone 2
magnaarn 3
monarch 1
more 1
nadziranim 1
of 5
once 1
other 1
power 1
rally 1
reader 1
sarnac 1
seeks 1
sorcerers 1
sought 1
take 1
that 2
the 8
this 2
thwart 1
time 1
to 3
under 1
up 1
warlord 1
while 1
with 1
wolf 2
