5531936
/m/0dr6bt
/m/0dr6bt
Barbara Mertz
1996
20th 1
a 5
against 1
alone 1
also 1
amarna 1
amelia 3
and 4
archeological 1
are 1
avenge 1
back 1
be 1
bearing 1
book 1
by 1
cairo 1
cartouche 1
case 1
century 1
city 1
come 1
crime 1
criminals 1
david 1
emerson 2
evelyn 1
even 1
first 1
fit 1
for 2
friend 1
from 1
goes 1
gold 1
greet 1
heretical 1
in 4
introduces 1
land 1
left 1
lifelong 1
mr 1
mysterious 1
new 1
not 1
of 3
one 2
only 1
out 1
parties 1
partner 1
pharaoh 1
pharaohs 1
presents 1
queen 1
ramses 1
ring 1
robbers 1
romance 1
ruins 1
same 1
save 1
season 1
she 1
shelmadine 2
since 1
spell 1
tetisheri 1
that 1
the 8
their 1
them 1
then 1
this 3
time 3
to 4
todros 1
tomb 1
tombe 1
two 1
unknown 2
up 1
walter 1
when 1
will 1
with 1
