2377833
/m/077n_t
/m/077n_t
Vernor Vinge
1985
{"/m/0l67h": "Novella"}
a 3
agent 1
also 1
amount 1
anarchocapitalist 1
and 2
attempts 1
bridge 1
brierson 2
by 1
claims 1
company 1
completely 1
creates 1
cultural 2
damage 1
detectiveinsurance 1
differences 1
disrupt 1
failing 1
farmer 1
fiasco 1
framework 1
gap 1
have 2
his 1
in 2
including 1
invading 1
invasion 1
is 3
kansas 2
lone 1
main 1
marooned 1
may 1
mexico 1
might 1
military 1
minimize 1
new 1
nmr 2
of 4
out 1
pay 1
peaceful 1
property 1
protagonist 2
realtime 1
republic 1
selfprotection 1
society 1
story 1
the 12
thus 1
to 4
trying 1
understand 1
w 1
while 1
who 1
wil 1
