4487360
/m/0c548g
/m/0c548g
P. G. Wodehouse
1928-09
{"/m/0707q": "Short story"}
a 6
about 1
aging 1
and 7
anger 1
as 1
at 2
aunt 1
away 1
awful 1
back 1
balm 1
based 1
be 2
beefy 1
been 1
begins 1
bingham 6
biscuits 2
blandings 1
blowing 1
bottle 1
but 3
buys 1
by 4
can 1
castle 1
causes 1
charmed 1
closed 1
considerable 1
cousin 1
cries 1
dashes 1
designed 1
diffidence 1
doesnt 1
dog 1
dogjoy 1
dogloving 1
donaldson 1
dour 1
down 2
during 1
earl 1
emsworth 9
enemy 1
england 1
even 1
face 1
fact 1
family 1
far 1
fatherinlaw 1
fellow 1
find 1
finds 1
first 1
for 3
freddie 5
from 2
georgiana 1
gertrude 5
gift 1
granting 1
gregory 1
ground 1
guest 1
guise 1
has 3
have 1
he 10
help 2
helpful 2
hesitate 1
him 2
himself 2
his 12
hopeful 1
hopes 1
horses 1
house 1
however 1
ideal 1
ills 1
imprisoned 1
in 8
inflict 1
ingratiating 2
inspired 1
into 1
is 8
job 1
just 1
kisses 1
knocks 1
ladder 1
learns 1
less 1
livings 1
lord 2
lordship 1
love 1
man 2
many 1
meanwhile 1
miserably 1
mishearing 1
mistakes 1
mooning 1
morning 1
mother 1
mr 2
neighbour 1
niece 1
night 1
noise 1
not 2
of 5
off 1
old 1
on 2
one 1
only 2
others 1
overdoing 1
oxford 1
pain 1
pal 1
parsloeparsloe 2
peer 1
pigman 1
place 1
pleased 1
popjoy 2
product 1
promote 1
punch 1
question 1
ranks 1
realises 1
remedy 1
reveals 1
runs 1
sadly 1
sanity 1
save 1
see 1
seen 1
sees 1
selling 1
sends 1
sent 1
singing 1
sir 1
smothered 1
soon 1
stiff 1
still 1
stolen 1
study 1
superfilm 1
swim 1
tasked 1
thanked 1
that 2
the 19
threepwood 1
tidying 1
to 13
tries 1
trying 1
turned 1
under 1
up 1
wakes 1
ways 1
wellbeloved 1
welloff 1
when 5
which 1
window 1
with 5
world 1
worse 1
