14550867
/m/03d7mbg
/m/03d7mbg
George MacDonald

{"/m/0dwly": "Children's literature", "/m/01hmnh": "Fantasy"}
a 5
able 2
about 1
across 1
after 1
again 1
agreed 1
ambassador 1
an 1
and 14
another 1
around 1
arousing 1
as 1
assuring 1
at 1
aurora 1
away 2
back 1
bear 1
beast 1
become 1
been 2
before 1
begins 1
beset 1
big 1
birth 3
blind 1
blinding 1
born 1
boy 4
burdened 1
business 1
by 5
calm 1
came 3
castle 2
cat 1
chambers 3
chance 1
childbirth 1
comfort 1
complete 1
concern 1
constraint 1
continued 1
controlling 1
convinced 1
courage 2
darkness 1
daughter 1
day 2
daybreak 1
days 1
defeat 1
desired 1
desiring 1
despite 1
did 1
died 2
dim 1
down 1
each 1
elsewhere 1
ensure 1
environments 1
eventually 1
everything 1
expectant 1
experience 1
experiment 1
fear 1
fearless 1
fell 1
filled 1
first 1
for 3
foremost 1
forest 1
found 1
from 3
fullmoon 1
gathered 1
gave 1
girl 2
girls 1
given 1
glorious 1
grew 1
had 3
he 5
her 14
him 2
his 6
home 1
however 1
hunt 2
hunter 1
hunting 1
husband 1
immediately 1
in 12
into 1
it 3
keeping 1
knew 1
knowledge 1
lady 1
lamp 1
learned 1
leaving 1
left 1
lie 1
light 3
lit 1
married 1
measure 1
mind 1
mold 1
morning 1
mother 1
mothers 1
named 1
nature 1
never 1
new 1
night 5
no 2
nocturnal 1
not 1
nothing 1
now 1
nycteris 8
of 7
off 1
on 3
once 1
one 2
only 1
opposite 1
other 4
others 1
out 1
outdoors 2
outings 1
over 1
people 1
photogen 9
pleas 1
point 1
power 1
prefer 1
promptly 1
protect 1
prove 1
provided 1
pursuit 1
recently 1
regained 1
regarding 1
rejoice 1
rely 1
rest 1
results 1
returned 1
rooms 2
rose 1
same 1
see 2
sending 1
settled 1
she 5
shortly 1
should 1
similar 1
single 1
sixteenth 1
skilled 1
slept 1
slinking 1
so 1
some 2
son 1
sort 1
spacious 1
spent 1
spied 1
spoil 1
stay 2
stayed 1
stony 1
strange 1
strengths 2
strictly 1
strong 1
sun 2
sunlit 1
suspicions 1
telling 1
terrified 1
terror 1
than 2
that 9
the 30
their 3
there 1
these 1
they 2
this 3
through 1
time 2
to 23
tomblike 1
took 1
two 2
undertook 1
up 3
use 1
vesper 1
violating 1
visit 1
wanting 1
was 8
watch 1
watho 6
wathos 1
way 3
weakness 1
went 2
were 1
when 1
while 1
whisked 1
who 4
whose 1
widowed 1
windowless 1
wishing 1
witch 3
witchs 2
with 3
woman 1
wonder 1
world 1
year 1
yet 1
