7151237
/m/0h6zlg
/m/0h6zlg
Michael Moorcock
1969
a 11
adaz 1
after 2
again 1
agrees 1
aid 2
all 2
also 1
amarehk 2
amends 1
amulet 2
an 3
and 40
another 1
appears 1
are 6
army 8
arrive 1
as 5
asiacommunista 1
assault 1
assembled 1
at 3
attack 1
attacking 1
attempts 1
audience 1
awaiting 1
back 6
baron 6
battle 1
bay 1
be 2
bear 1
been 1
begin 1
begins 2
behind 1
between 1
black 2
blindness 1
blocked 1
boat 1
bowgentle 2
brass 8
breach 1
breaches 1
break 1
brother 1
buildings 1
but 6
by 13
called 1
captains 1
capture 1
castle 7
child 2
city 3
claiming 1
claims 1
cohnahlias 4
collection 1
company 1
confirms 1
confront 1
coninue 1
consciousness 2
conspires 1
convinces 1
count 3
countess 1
countless 1
crash 1
creates 1
creatures 1
crew 1
cross 1
crystal 1
dark 3
daverc 9
dawn 3
day 1
death 1
decide 1
defeat 1
defeated 1
depart 1
destiny 1
destroyed 2
device 4
dimension 3
disappears 2
dismissal 1
dispatches 1
dnark 4
doctor 1
does 2
drive 1
effects 1
elvereza 2
embedded 1
emissaries 1
emissary 1
empire 3
empress 1
enthrone 1
escape 2
escaped 1
europe 3
evil 1
explodes 1
fank 4
fate 2
feel 1
fight 1
fighting 1
find 2
finds 2
flana 5
flash 1
flee 1
fleet 1
for 3
forces 7
forcing 1
forms 1
free 1
frees 1
from 7
full 1
generals 1
ghostly 1
gives 2
globe 1
glowing 1
gold 3
good 3
granbretan 2
grasp 1
great 3
grief 1
has 3
have 2
hawkmoon 25
he 7
head 1
helmets 1
her 1
him 6
himself 3
his 13
holds 1
home 1
huon 10
if 2
in 12
informs 2
inhabitants 1
inhabited 1
instructs 1
into 4
is 9
island 2
it 2
its 1
jehamia 4
jet 3
jewel 2
joined 1
joins 1
journey 1
kalan 4
kamarg 2
keeping 1
kill 1
killed 2
killing 1
kills 3
kingemperor 6
knocked 1
leaders 1
leads 2
learn 2
left 1
legion 4
location 1
londra 3
loses 1
lover 1
loyalty 1
machine 2
make 1
means 2
meanwhile 1
meet 3
meets 1
meliadus 13
mentality 1
messenger 1
mirrored 1
mission 1
mythical 1
nearby 1
need 1
next 1
not 1
now 1
numerous 1
of 24
oladahn 2
on 6
once 1
ones 3
orders 2
organic 1
original 1
orland 6
ornithopter 2
out 1
overrun 1
overthrow 1
overwhelmed 1
palace 2
peaceful 1
power 1
pressed 1
process 1
promp 1
reactivate 1
ready 1
recovers 1
red 2
remove 1
repair 1
rescued 1
results 1
return 2
returns 2
revealing 1
room 1
runestaff 6
safe 1
safekeeping 1
sailing 1
sea 1
sends 1
shatter 1
shattered 1
she 1
shenegar 5
ship 2
should 1
skull 1
so 1
sonic 1
soon 1
spirit 1
stays 1
stop 1
stops 1
strange 1
suffers 1
summon 1
summoned 1
summons 3
swelled 1
sword 1
take 1
takes 1
taragorm 4
tells 2
temporary 1
tested 1
that 5
the 62
their 3
them 5
themselves 2
there 3
they 4
this 3
those 1
though 3
threatened 1
threatening 1
throne 2
till 1
time 1
to 35
towards 2
tozer 2
transport 2
transported 1
treason 1
tries 1
trott 8
up 1
upon 1
uses 1
various 1
village 2
visiting 1
visits 1
vows 1
walls 1
war 1
warrior 3
way 1
where 2
which 2
while 1
who 6
will 1
with 5
wonders 1
works 1
worn 1
yissela 1
yisselda 1
