26775658
/m/0bmdq6m
/m/0bmdq6m
Linda Crew
1991

a 20
able 1
about 9
accepting 1
according 1
adapt 1
admiring 1
admits 1
afraid 1
after 7
age 1
agrees 1
all 4
along 1
aloud 1
also 4
america 1
american 4
and 24
anymore 1
are 1
arranged 1
as 9
ashamed 1
asking 1
asks 3
assignment 1
at 5
attends 1
attention 1
aunt 5
awareness 1
away 1
baby 5
back 1
balloons 1
be 1
because 1
become 1
becomes 1
becoming 1
been 2
before 1
befriends 1
behind 1
being 1
better 1
between 2
bonner 2
bottle 1
bottles 1
boy 3
breast 1
broken 1
builds 1
but 6
by 1
cambodia 5
cannot 2
cathcart 1
cathy 10
chamroeun 5
changes 1
charge 1
charming 1
childhood 1
claims 1
class 2
clear 1
collapses 1
collect 1
communist 1
compliments 1
confesses 1
confused 1
cousin 2
cramped 1
crush 1
dad 1
day 1
decides 1
described 1
despite 1
devastating 1
dies 1
dinner 1
dislikes 1
dismay 1
do 1
does 1
doll 1
drags 1
drifting 1
drink 1
due 1
dying 1
each 2
eager 1
eating 2
end 1
enough 1
escape 1
eventually 2
everything 1
explains 1
extra 1
extremely 1
face 2
fact 1
fall 1
falls 1
family 1
father 2
feelings 2
feels 1
fight 1
finds 3
flees 1
following 1
football 2
for 9
friend 3
friendship 1
from 3
fruit 1
game 1
gates 1
get 3
gets 1
getting 1
girlfriend 1
girls 2
gives 3
goes 4
going 3
goodbye 1
grade 1
grandma 1
grandmother 1
gym 1
had 3
hadnt 1
happy 1
hard 1
harder 1
has 7
have 4
having 2
he 11
help 3
helper 1
her 32
herself 3
him 6
his 2
history 1
hoe 1
home 3
hospital 1
house 2
how 3
hurt 1
hysterics 1
i 5
im 2
in 9
includes 1
infant 1
inside 1
interview 1
into 1
is 18
it 6
joke 1
jonathan 20
jonathon 2
just 1
killed 1
kiss 1
knew 1
know 1
knows 2
later 1
learns 1
leave 2
leaves 1
life 1
like 1
likes 1
lot 1
love 1
loves 1
lunch 1
makes 3
malnourished 1
many 1
market 1
marriages 1
married 1
meets 1
milk 4
mind 1
mission 1
moni 3
more 1
mother 2
movie 1
mr 2
mrs 1
much 1
my 1
myself 1
named 1
naro 1
new 1
news 1
night 1
ninth 1
nobody 1
not 8
notices 1
of 5
off 1
oh 1
on 6
one 2
opening 1
or 1
other 2
ought 1
out 3
over 1
own 1
parents 1
peel 1
people 1
playing 1
poem 1
popular 1
potato 1
powdered 1
pray 1
problem 1
promise 2
put 1
quitting 1
ravy 1
reads 1
realizes 2
really 1
reasons 1
relationship 2
release 1
reluctantly 1
reminded 1
right 2
same 1
save 1
says 2
school 3
see 3
seem 1
seems 4
sent 1
she 17
ship 1
shortly 3
show 1
showering 1
shy 1
since 1
small 1
smart 1
sneaks 1
so 1
society 1
soka 7
soldier 1
solely 1
some 3
something 2
soon 7
special 1
spirit 1
spreading 1
stand 1
stands 1
start 1
starts 1
states 1
stuff 1
such 1
sugar 1
sundara 44
supplies 1
sweet 1
taken 1
takes 2
talk 1
teacher 1
team 1
tell 1
terrible 1
that 11
the 19
their 2
them 1
then 2
there 3
they 4
things 1
this 3
threat 1
through 2
time 1
times 1
to 37
together 3
told 3
top 1
trip 2
trouble 3
uncle 3
understand 3
understanding 1
up 3
upset 1
us 1
very 3
want 1
war 1
was 1
watch 1
water 1
ways 2
we 1
what 1
when 3
which 1
while 3
who 1
will 2
wish 1
wishes 2
with 5
women 1
wont 1
work 1
works 1
worried 1
would 1
wouldnt 1
yelled 2
you 3
