1129093
/m/048sgc
/m/048sgc
August Wilson


1 4
2 5
35 1
a 13
about 3
act 5
actions 2
affects 1
afraid 1
after 2
again 3
against 1
age 1
agree 1
alone 1
already 1
altogether 1
ancestors 1
and 48
annoy 1
answers 1
appears 1
are 4
around 1
as 9
asked 1
asks 5
at 2
attempt 1
attempts 1
aura 1
avery 6
awake 1
away 1
back 2
badly 1
bargained 1
bath 1
be 5
become 1
beginning 1
begins 2
behind 1
berniece 22
bestowed 1
better 2
blacks 2
blames 1
bless 1
blessings 1
blood 1
blue 1
boogiewoogie 1
both 3
boy 13
breaking 1
breaks 1
brings 2
brother 2
but 2
buy 1
buyer 1
by 2
calls 2
calm 1
cannot 1
care 1
careful 1
casually 1
causing 1
celebrate 1
changes 1
charles 7
cheating 1
claim 1
closer 1
comes 1
commands 1
confesses 1
confronted 1
continue 1
conversation 1
convince 1
couch 1
crawley 4
daily 1
daughter 1
dawn 1
day 2
death 2
declares 1
demands 1
destroy 1
different 1
disagrees 1
discard 1
discomfort 1
discover 1
dismisses 1
do 1
doaker 9
does 1
door 1
down 1
downstairs 1
draws 1
dressed 1
drive 1
drowning 1
due 2
during 1
engage 1
enriching 1
enter 2
enters 2
equal 1
events 1
everyone 1
excited 1
experiences 1
family 7
farm 2
father 1
feels 3
few 1
fight 1
finally 2
first 1
flee 1
fool 1
for 6
from 3
frustrated 1
full 1
further 1
gather 1
ghost 6
ghosts 1
gives 1
go 1
good 1
grace 1
gun 1
had 1
has 2
have 2
having 1
he 12
heads 1
heard 1
her 20
him 3
himself 1
his 17
hoping 1
hot 1
house 6
household 2
if 3
imaging 1
in 10
inability 1
inexistence 1
informs 1
inside 1
insistence 1
insists 2
instead 1
intend 1
intends 1
into 2
is 14
it 4
its 2
judgement 1
kiss 1
knowing 1
knows 2
land 2
later 1
leading 1
learn 1
leave 2
leaves 1
led 1
let 1
life 2
listen 2
live 1
looking 2
lymon 15
man 2
maretha 4
matter 1
members 1
memory 1
middle 2
might 1
mingled 1
money 1
more 2
morning 1
mother 1
move 4
muse 1
must 1
name 1
next 1
night 1
no 1
north 1
not 6
nothing 1
now 1
of 17
on 7
once 1
only 1
open 2
opens 1
orders 1
origins 1
out 3
over 3
owned 1
parchment 2
partakes 1
past 3
perspectives 1
piano 22
play 4
playing 2
plays 1
plea 1
possible 1
preparing 1
presence 1
present 1
prevent 1
prison 2
professing 1
promising 1
proposes 1
protective 1
purchaser 1
pursuit 1
put 1
quickly 1
railroad 1
rambles 1
reenter 1
refuses 3
refutes 1
regarding 1
relive 1
represents 1
revealed 1
revived 1
rid 1
room 2
run 1
sale 1
saw 1
scene 4
scenes 1
screams 2
see 2
seeing 2
seems 1
seen 1
sell 5
selling 2
sells 1
sentence 1
she 9
shoes 1
short 1
should 6
shut 1
simple 1
sister 3
slavery 1
sleep 1
so 1
song 1
soon 2
soul 2
speech 1
spirit 1
spirits 2
stairs 2
still 1
stir 1
stop 2
stopped 1
stories 2
story 3
stupid 1
successful 1
suddenly 2
suit 2
surprised 1
sutter 8
sutters 1
switching 1
swooning 1
talk 2
tears 1
tells 4
term 1
test 1
that 20
the 73
their 1
them 3
then 6
these 1
they 4
things 1
three 1
through 1
tired 1
to 47
together 1
toiled 1
top 1
topic 1
topics 1
traumatizing 1
treat 1
treated 1
truck 1
try 3
tunes 1
two 2
uncle 3
uncles 1
up 4
upon 2
upset 1
upstairs 2
urge 1
use 1
values 1
virtues 1
walk 1
walks 1
wanderer 1
want 2
warn 1
watermelon 3
weight 1
well 1
what 2
where 1
while 1
white 2
whites 1
who 2
whole 1
whom 1
will 4
willie 29
wining 6
wishes 1
with 8
without 1
woman 1
women 3
woo 1
words 2
wounds 1
years 1
