31792722
/m/0gtv0hh
/m/0gtv0hh
Darren Shan


12 2
1th 1
24 1
3 1
4 1
500yearold 1
600yearold 1
a 36
abandoned 1
about 3
across 1
after 13
age 1
also 1
an 2
and 38
animals 1
another 1
are 8
arguing 1
around 2
as 6
ask 1
asks 3
asleep 1
assistant 3
at 2
attempt 1
attend 1
attended 1
back 2
badly 1
balance 1
be 4
beaten 1
become 2
becoming 1
been 3
before 1
begins 2
behind 1
beneath 1
better 1
blanket 4
blood 3
bodies 2
body 1
book 3
both 1
breaking 1
bumping 1
but 4
by 7
can 3
card 1
castle 1
causes 1
causing 1
century 1
cirque 5
clear 1
close 1
cobwebs 1
coincidence 1
come 1
comes 2
complete 1
confronted 1
consider 1
consists 1
continues 1
convincing 1
cook 1
could 1
council 5
cousin 2
cover 1
covered 1
creature 3
crepsley 3
crossed 1
crypt 1
cubs 2
current 1
dancing 1
death 1
decide 2
decides 1
deeply 1
defensive 1
destiny 2
discussion 1
distracted 1
disturbed 1
does 1
doing 1
drain 1
drained 1
dressed 1
drinking 2
du 4
during 1
early 1
eat 1
eating 2
element 1
ends 3
enroute 1
enter 1
escape 1
escapology 1
eul 2
eventually 2
every 2
eye 1
eyes 1
face 2
factory 1
faint 1
falls 1
father 1
feels 1
festival 3
few 2
fight 1
figure 2
find 3
finds 5
fingernails 1
first 3
flack 1
floor 1
foes 1
following 1
food 1
footsteps 1
for 10
foreman 1
found 1
freak 4
freaks 1
friend 1
friends 1
from 2
fullblooded 1
fullvampire 1
further 1
gambling 1
game 1
games 2
general 1
get 3
give 1
go 3
goes 4
good 1
grasp 1
graveyard 1
group 4
had 1
hair 1
half 1
hand 1
hands 1
has 2
have 4
he 19
hearing 1
hears 1
heartshaped 1
heavy 1
hibernius 1
hiding 1
him 2
himself 6
his 13
horston 1
hours 2
human 6
hunger 1
hunt 1
hunting 1
i 3
if 1
immediately 1
impossible 1
in 23
included 1
inn 1
intent 1
into 2
involved 1
is 15
it 5
jobs 1
join 1
jumps 1
just 2
keeping 1
kill 1
knocked 1
knocking 1
knowing 1
knowledge 1
larten 35
learning 1
leave 1
leaves 3
leaving 1
led 1
leg 1
lies 1
like 2
lips 1
lives 2
living 1
location 1
lockpicking 1
looks 1
lose 1
losing 1
magician 1
make 1
makes 1
making 1
man 4
mansion 1
master 1
meet 1
meetings 1
merletta 1
momentarily 1
monster 2
monsters 1
morning 1
most 2
mother 1
mountain 2
moves 1
mr 1
mull 1
murdered 1
murlough 2
my 1
mysterious 1
name 2
named 1
names 1
need 1
new 2
night 1
nile 1
not 5
now 2
of 26
off 4
on 10
once 1
one 4
opportunity 1
or 1
order 2
organises 1
our 1
out 3
outburst 1
over 1
own 2
owner 1
pair 1
paris 1
part 2
particular 1
particularly 1
paths 1
people 2
place 1
point 1
position 1
possibly 1
preparing 1
previous 1
prides 1
primarily 1
prince 1
process 1
pull 3
pulls 1
purple 1
pursuing 1
quite 1
reach 1
realises 1
reallife 1
red 1
return 2
revealed 1
revenge 1
rooms 1
round 3
route 1
row 1
ruined 1
run 1
rundown 1
sadistic 1
safe 1
satisfy 1
says 1
search 1
seba 14
seeks 1
set 1
settles 1
shape 1
short 1
shows 1
siblings 1
side 1
silk 1
sir 1
skin 1
skyle 1
sleepless 1
so 3
some 1
sort 1
speed 1
spying 1
stake 2
stay 1
storming 1
story 1
storytelling 1
strike 3
strikes 1
striking 1
suit 1
surprise 1
surrounding 1
take 1
takes 2
talks 2
tall 1
tanish 2
taste 1
tells 2
testing 2
tests 1
that 10
the 65
their 7
themselves 1
then 4
they 4
thing 1
things 2
think 1
this 9
time 3
times 1
to 32
tonight 1
towards 1
tragedy 1
travel 1
travelling 1
traz 2
tricks 1
try 2
tugged 1
turns 1
ultimate 1
undead 1
underneath 1
unfair 2
unknown 1
until 2
up 5
upon 2
us 1
use 1
vampaneze 2
vampire 10
vampires 3
verbal 1
very 1
village 1
visitor 1
vur 3
walk 1
watch 1
way 2
ways 2
weeks 1
wester 15
what 3
where 2
which 3
whilst 3
who 8
whose 1
will 4
with 14
women 1
working 1
world 1
would 1
years 3
yellow 1
you 2
young 3
