6971483
/m/0gzbky
/m/0gzbky
Naomi Novik
2006-05-30
a 11
able 1
about 1
accepted 1
accepting 1
aerial 1
again 1
against 1
albino 1
all 2
allegiance 1
alliance 1
along 1
also 1
ambush 1
an 1
and 21
announces 1
antagonist 1
any 1
are 6
arms 1
arrival 1
as 4
asian 1
at 5
austerlitz 1
austria 1
away 1
battle 3
be 2
been 1
before 1
befriends 1
betrayal 1
black 1
bodes 1
book 1
breed 1
britain 2
british 5
burial 1
but 4
by 5
calls 1
cannot 1
captain 2
cause 1
central 1
child 1
china 3
city 2
civilians 1
clear 1
coalition 1
collection 1
common 1
company 2
complaint 1
complement 1
confused 1
corps 1
countered 1
court 1
creativity 1
crew 3
crown 1
crushing 1
damage 1
danzig 1
de 1
dear 1
decide 1
deciding 1
declaration 1
defeated 1
deprived 1
deserts 1
despite 2
despondency 1
destruction 1
details 2
developed 1
diplomat 2
discover 1
dragon 4
dragons 3
dropping 1
due 1
during 1
easily 1
eggs 4
emerge 1
empire 1
end 2
enemies 1
entire 1
escape 1
eschew 1
especially 1
europe 1
evacuate 1
eventual 1
exfiltration 1
exorbitant 1
face 1
fall 1
family 1
feel 1
feral 1
ferals 1
ferry 1
finally 2
find 1
fire 2
firebreathers 1
first 1
flock 2
for 2
forced 1
fortress 1
fourth 1
frederick 2
french 1
from 3
good 1
government 1
granby 2
grand 1
great 1
group 1
guide 1
guignes 1
had 1
hand 1
harried 1
has 4
haste 1
hatched 1
hatches 1
have 1
he 2
head 1
help 1
her 1
herself 2
him 2
his 9
history 1
holds 1
however 2
iii 1
immediately 1
in 12
increase 1
integrates 1
intent 1
into 2
is 7
iskierka 1
istanbul 3
its 1
jenaauerstedt 1
john 1
kazilik 1
killing 1
king 1
landing 2
laurence 10
learns 1
lien 4
lieutenant 1
life 1
live 1
loss 1
louise 1
made 1
make 1
makes 2
making 1
members 1
merely 1
mission 1
more 1
mountains 1
mourning 1
much 1
muchdistrustred 1
must 1
named 1
naming 1
napoleon 3
nation 1
navy 1
nearer 1
news 1
none 1
not 1
novel 2
now 1
nowestablished 1
observed 1
observes 1
of 39
offered 1
on 2
once 3
one 2
only 3
opening 1
opposed 1
ordered 1
orders 1
ottoman 1
out 3
outdated 1
over 2
pack 1
payment 1
perhaps 1
personal 1
pick 1
powder 1
precisely 1
presence 2
previous 1
primary 1
prince 1
private 1
prologue 1
promise 1
promised 2
provenance 1
prussia 1
prussian 2
prussians 2
public 1
purchased 1
queen 1
ranks 1
received 2
relieved 1
reneging 1
requisitioned 1
rest 1
return 2
returning 1
rig 1
routes 1
royal 2
scant 1
see 1
seen 1
services 1
set 1
she 4
siege 2
simultaneously 1
some 1
soon 1
soundly 1
southasian 1
spurs 1
squalor 1
steal 1
suffers 1
sultan 1
surely 1
survives 1
surviving 1
tactics 1
takes 1
techniques 1
temeraire 8
than 1
tharkay 2
that 4
the 58
their 3
them 3
themselves 1
there 2
thereafter 1
these 2
they 4
this 1
three 2
through 1
to 22
today 1
total 1
touch 1
transportation 1
travel 1
turkestan 1
turkish 1
turningpoint 1
twenty 1
under 2
unwelcome 1
up 1
upon 1
using 1
via 1
victory 1
visit 1
voyage 1
waiting 1
war 2
way 1
well 1
wellbred 1
were 1
what 1
when 1
where 1
which 3
whilst 1
who 2
wife 1
will 1
william 2
wishes 1
with 4
without 1
woman 1
year 1
yongxing 1
