1553425
/m/059wh5
/m/059wh5


{"/m/06c9r": "Role-playing game"}
66th 1
a 9
abyss 2
abyssal 2
adventure 2
all 1
also 1
an 3
and 7
another 1
architect 1
are 4
area 1
as 5
astral 1
at 2
by 1
campaign 1
can 1
captives 1
cast 1
characters 5
chose 1
conclusion 1
confronted 1
constructed 1
could 2
creatures 1
dd 1
defeat 1
demigoddess 1
demon 1
demonic 1
demons 1
demonweb 4
described 1
differently 1
drow 3
dungeon 2
each 1
elves 1
entirely 1
evil 1
features 1
find 2
fire 1
first 1
from 1
frost 1
gargantuan 1
gate 1
giants 3
glimpse 1
goddess 1
guards 1
handmaidens 1
he 1
her 3
here 1
hill 1
home 2
if 1
in 6
interweaving 1
into 2
introduced 1
invade 1
involving 1
is 2
it 1
itself 1
known 1
kuotoa 1
labyrinth 1
lair 1
launch 1
layer 1
lead 1
leading 1
lies 1
likely 1
lolth 6
lost 2
maelstrom 1
make 1
makes 1
manipulate 1
many 1
map 1
massive 1
master 1
maze 1
mazelike 1
mechanical 1
minions 2
module 1
most 1
must 1
new 1
night 1
not 1
number 1
of 15
off 1
offer 1
openended 1
or 2
order 1
other 2
out 1
passageways 1
path 1
permanent 1
pits 3
plane 2
player 2
plot 1
portal 1
portals 1
potentially 1
progresses 1
q1 1
queen 2
race 1
realm 2
referred 1
return 1
sending 1
series 2
she 1
sinister 1
slaves 1
some 1
souls 1
spells 1
spider 1
spiders 1
such 1
the 30
their 2
then 1
there 1
they 1
this 1
through 1
to 9
transported 1
try 1
unusually 1
vault 1
venture 1
was 1
way 2
web 1
webs 1
where 2
which 2
who 1
winter 1
work 1
world 2
worlds 1
yochlol 1
