8914251
/m/027pfzq
/m/027pfzq
Eileen Wilks
2004-10
a 7
and 3
appear 1
as 1
at 1
attraction 1
back 1
be 1
before 1
between 1
beyond 1
but 1
can 2
charismatic 1
clans 1
demand 1
detective 1
devastating 1
diego 1
distance 1
disturbs 1
doesnt 1
down 1
evil 1
fend 1
finds 1
for 1
grisly 1
has 1
he 1
help 1
helping 1
her 3
herself 1
his 1
honor 1
human 1
hunt 1
immediate 1
in 2
infiltrate 1
investigating 1
investigation 1
is 2
keep 1
killer 1
lily 4
logic 1
lupi 1
man 2
murders 1
must 1
named 1
never 1
not 1
now 1
of 3
off 1
one 1
only 1
own 1
police 1
presence 1
prince 1
race 1
reason 1
reasons 2
rule 2
san 1
series 1
share 1
she 4
sure 1
territory 1
tested 1
that 1
the 6
them 1
to 4
trust 1
turner 1
uncharted 1
want 1
werewolf 2
who 1
whose 1
with 1
work 1
yu 1
