1372781
/m/04xln9
/m/04xln9
David Weber
1995
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/01smf2": "Military science fiction"}
a 5
accept 1
acting 1
admiral 1
adoptive 1
adventure 1
afford 1
after 1
alliance 1
and 15
another 1
appears 1
are 2
arm 1
arrives 1
as 2
assassinate 1
attempt 1
banking 1
battle 1
battles 1
being 1
benjamin 2
between 1
bring 1
built 1
but 5
by 4
cannot 1
capacity 1
capturing 1
caused 2
champion 1
children 1
collapses 1
command 2
conducts 1
conspiracy 2
death 1
deep 1
defeated 1
destroy 2
development 1
discovered 1
dome 2
down 2
dozens 1
duel 1
dwell 1
emotions 1
even 1
events 1
eventually 2
exercises 1
fails 1
fastexpanding 1
fellow 1
fighting 1
financed 1
finds 1
fleet 1
force 3
given 1
government 2
gratitude 1
grayson 10
guilt 1
half 1
has 1
have 2
haven 3
havenite 1
her 11
herself 1
honor 8
improve 1
in 5
inexperienced 1
infrastructure 2
intends 1
is 2
it 2
its 1
ix 1
killing 1
kills 2
last 1
leader 1
leave 1
left 1
liberate 1
manticore 3
many 1
masada 1
mayhew 2
meanwhile 1
midconstruction 1
modern 1
nation 1
navy 4
needs 1
new 1
not 1
now 1
of 12
official 1
on 5
operation 1
orbital 2
overcome 1
oversee 1
paul 1
pavel 1
people 1
planet 1
planets 2
plot 1
political 1
protector 2
public 1
put 1
queen 1
raging 1
rank 1
reactionary 1
realizing 1
reforms 1
refuse 1
resorting 1
respect 1
rest 1
retreats 1
revealed 1
sabotage 1
scandal 1
see 1
sending 1
settle 1
several 2
shape 1
she 4
ships 1
shortly 1
size 1
someone 1
soon 1
space 1
squadron 2
stages 1
steadholders 1
steading 1
still 2
struggles 1
superdreadnought 1
support 1
surrounding 1
survivor 1
tankersley 1
task 3
territory 1
terrorism 1
that 2
the 26
their 1
them 1
thereafter 1
these 1
they 2
things 1
this 2
though 1
through 1
to 13
turmoil 1
two 1
under 1
until 1
war 1
was 2
weapons 1
well 1
when 1
which 1
with 4
young 2
