1088788
/m/044_15
/m/044_15
Anthony Trollope
1861
{"/m/02xlf": "Fiction", "/m/01qxvh": "Romance novel"}
a 9
adult 1
aggrieved 1
alive 1
alston 1
an 2
and 16
another 1
are 2
arousing 1
as 1
asked 1
at 3
augustus 1
barrister 2
be 1
been 1
befriends 1
being 1
between 2
bitterly 1
brief 2
briefly 1
but 2
by 3
calls 1
can 1
case 3
cleve 1
codicil 4
comically 2
committed 1
confesses 1
confirmed 1
conscience 1
court 2
date 1
daughter 2
daughterinlaw 1
deals 1
deed 1
died 1
dockwrath 2
dropped 1
educates 1
engaged 1
engagement 3
estate 2
eventually 1
fails 1
falls 1
family 2
farm 3
farming 1
felix 1
finds 1
for 1
forgery 2
fought 1
furnival 2
give 1
graham 2
grandson 1
groby 2
had 1
hamworth 1
handwriting 1
has 2
have 1
he 3
her 3
his 11
however 1
in 3
infant 1
intelligent 1
intensive 1
investigates 1
is 6
jealousy 1
john 1
joseph 2
judge 1
kenneby 1
knowing 1
lady 5
later 1
leave 1
left 2
letters 1
lies 1
lives 3
london 1
longer 1
longstanding 1
love 1
lucius 3
madeline 1
main 1
mary 1
mason 9
match 1
meanwhile 1
methods 1
miriam 1
moulded 1
mr 1
mrs 1
much 1
near 1
new 1
no 1
noningsby 1
of 9
off 1
on 1
one 4
only 1
original 1
orley 3
orme 2
park 2
parsimonious 1
pass 1
penniless 1
peregrine 3
persuades 1
poor 1
portrayed 1
privately 1
prompted 1
prosecuted 1
prosecution 1
realises 1
reconciled 1
relationship 1
relatively 1
remember 1
romance 1
same 2
samuel 1
second 2
seriousness 1
she 4
signed 1
signing 1
sir 2
skillful 1
slowly 1
snow 1
son 2
sophia 3
staveley 1
staveleys 1
stavely 2
subplots 1
suitor 1
supports 1
tenant 1
that 1
the 19
there 2
they 1
though 1
three 1
to 12
travels 1
try 1
twenty 1
unfolding 1
unsuccessful 1
up 1
usbech 1
various 1
wants 1
was 1
were 2
when 2
where 2
while 1
who 2
whom 2
wife 6
will 2
with 6
without 1
witnesses 3
woman 1
writes 1
years 1
yorkshire 2
young 1
younger 2
