3038250
/m/08mdk6
/m/08mdk6
George Eliot

1832 1
a 11
about 2
abroad 1
act 1
affection 1
after 1
against 1
agent 1
agreed 1
alienates 1
aligned 1
all 1
allies 1
along 1
also 4
an 1
and 20
appear 1
appears 1
are 1
around 1
as 4
assault 1
at 2
augustus 1
away 2
become 1
becomes 1
been 1
beer 1
begins 2
between 1
biological 1
both 3
break 1
but 6
by 2
cancelled 1
career 1
caught 1
cause 2
causes 1
challenges 1
change 1
changes 1
character 2
charged 1
chastises 1
christian 2
claim 1
comfortable 1
community 1
compares 1
concerns 1
condescension 1
constable 1
contest 1
continued 1
contrary 1
convinces 1
counters 1
county 1
day 1
debarry 3
debarrys 2
debate 2
decides 1
declines 1
deepen 1
deepens 1
desires 1
despair 2
despite 1
destined 1
destroy 1
devise 1
direct 1
discussed 1
dissenting 1
drunken 1
during 1
each 1
eager 1
east 1
election 4
electioneering 4
embezzling 1
emulate 1
end 1
ends 1
english 1
enlists 1
erupt 1
establish 1
estate 7
esther 15
eventually 1
exchange 1
extensive 1
fact 2
fall 1
family 2
far 1
father 2
feeling 1
feelings 1
feels 1
felix 14
fictitious 1
fifteenyear 1
finding 1
first 1
focused 1
foolhardily 1
for 8
found 1
friends 2
from 9
future 1
gains 1
glasgow 1
good 1
growth 1
guilty 1
harold 14
has 4
have 1
he 6
help 1
her 8
high 1
him 2
himself 2
his 11
holt 10
home 1
hoping 1
hostility 1
however 4
identity 1
impressed 1
in 17
informs 1
initially 1
intends 1
interfere 1
introduced 1
invites 1
is 12
its 1
jermyn 7
john 2
johnson 2
known 1
landowner 1
last 1
latter 1
lawyer 2
learns 2
legal 1
life 3
little 1
live 1
loamshire 1
local 1
loses 1
love 1
lyon 13
magna 3
manage 1
manslaughter 2
marry 2
marrying 1
matthew 2
maurice 2
meanwhile 3
meets 1
methods 1
midlands 1
mine 1
mining 1
minister 1
minute 1
mismanagement 1
mismanaging 1
money 1
moral 1
more 1
mother 2
motherly 1
moves 1
moving 1
mr 1
mrs 5
much 1
nearby 1
never 2
nevertheless 1
north 1
not 1
of 19
on 2
other 1
outlook 1
owner 2
pardoned 1
parliament 1
personal 1
persuade 1
philip 1
plan 1
possible 1
poverty 1
proceedings 1
property 1
proposal 1
proposes 1
prosecution 1
prospers 1
publicise 1
radical 3
rapport 1
reader 1
ready 1
recently 1
rector 1
reform 1
relationship 1
relays 1
remain 1
remains 2
resides 1
returned 2
rev 9
riot 1
riots 2
rufus 1
ruined 1
save 1
seat 1
seeing 1
servant 1
share 1
she 4
silent 1
some 1
sproxton 2
stand 1
standards 1
stands 1
starts 1
stepdaughter 2
stepfather 1
story 2
support 3
surrenders 1
sympathetic 1
tell 1
that 4
the 47
their 1
theological 1
they 1
this 2
threatening 1
time 1
to 30
torn 1
tory 2
towards 1
town 2
townspeople 1
trade 1
trading 1
traditional 1
traditions 1
transome 25
transomes 2
travels 1
treat 1
treating 1
treby 6
trial 1
tried 1
tries 2
true 2
truth 1
uncle 1
up 2
upon 2
upset 1
village 1
vocal 1
vouch 1
wantonly 1
wealth 1
wealthy 1
while 3
who 3
whose 1
widely 1
with 16
witnesses 1
workers 2
yet 1
