13656504
/m/04ggf0y
/m/04ggf0y
Harry Turtledove
2001-01-30
a 4
addiction 1
after 1
agrees 1
all 2
allies 1
allow 2
allowed 1
allowing 1
allows 1
along 1
american 2
americans 1
an 1
and 10
arise 1
as 3
attack 2
atvar 1
axis 1
be 1
begins 1
between 2
black 1
britain 1
british 1
by 2
choice 1
city 1
clashes 1
colony 1
commits 1
contact 1
destroy 1
destroyed 1
disband 2
dismantle 1
dornberger 3
drift 1
drug 1
due 1
during 1
earl 1
earth 1
effects 1
ends 1
ernst 1
eventually 1
fascists 1
females 1
fhrer 1
finally 1
fleet 1
fleetlord 1
for 1
forces 3
france 2
free 1
french 1
from 3
future 1
german 4
germany 2
ginger 1
gives 1
government 1
governments 1
harold 1
homeworld 1
however 1
humans 1
in 4
indianapolis 2
instability 1
into 1
is 5
it 4
its 1
itself 2
journey 1
kaltenbrunner 1
killed 1
large 1
liberated 1
like 1
market 1
meanwhile 1
missile 1
much 1
nazi 1
new 1
nuclear 3
nuke 1
occupied 1
of 6
on 3
option 1
or 1
ordered 1
over 2
parts 1
president 1
program 2
prostitution 1
race 6
radioactive 1
rearm 1
reason 1
repay 1
replaced 1
reproductive 1
results 1
revealed 2
revenge 1
rocket 1
second 1
secretly 1
social 1
soviet 1
space 2
starship 1
stassen 1
stated 1
stockpiling 1
such 1
suicide 1
surprise 1
surrender 1
system 1
taking 1
that 5
the 27
their 2
them 1
then 1
this 1
time 1
to 10
troops 1
undergoes 1
union 2
unregulated 1
unrest 1
vice 1
visit 1
walter 1
war 1
warren 4
was 2
weapons 1
well 1
were 1
when 1
with 3
withdraw 1
withdrawal 1
working 1
would 1
