26708863
/m/0bmc6tc
/m/0bmc6tc
Muriel Spark
1990
a 8
american 1
an 2
and 9
annabel 1
attending 1
australian 1
been 1
burglary 1
burgled 1
chris 1
commissioner 1
convent 1
couples 1
cousins 1
damien 1
deaths 1
dinner 2
donovan 1
ella 1
ends 1
ernst 1
eu 1
events 1
five 1
flashbacks 1
from 1
genealogist 1
guests 3
have 1
his 1
honeymoon 1
hosts 1
hurley 1
in 1
includes 1
including 1
into 1
involving 1
is 1
it 2
itself 1
just 1
lady 1
leading 1
lives 2
lord 1
mad 1
many 1
margaret 1
marxist 1
mother 1
murder 1
newlyweds 1
nuns 1
of 7
on 1
one 1
painter 1
party 3
preying 1
producer 1
recently 1
reed 1
returned 1
rich 1
ring 1
roland 1
scottish 1
several 1
story 2
suzy 1
sykes 1
teacher 1
the 13
to 1
treece 1
tv 1
uncle 1
unexplained 1
untzinger 1
up 1
venice 1
who 1
widow 1
wife 1
william 1
with 1
