24607837
/m/080b861
/m/080b861
Janusz Korczak


a 11
about 4
adult 3
advisors 2
africa 3
african 3
after 1
again 1
against 1
aid 1
all 2
alongside 1
anarchy 1
and 24
anger 2
annoyance 1
are 1
as 1
atrocities 1
banished 1
bankrupt 1
be 1
because 1
becomes 4
becoming 2
before 1
best 1
betrayed 1
better 2
bitterness 1
book 1
bravely 1
bring 1
build 1
bully 1
but 1
by 5
can 2
cannibals 1
cannot 1
capital 1
cared 1
cheat 1
child 2
chocolate 1
chooses 1
citizens 1
colonial 1
corruption 1
countries 1
country 5
cowardly 1
criminals 1
dagger 1
daughter 1
death 1
declares 1
democracy 1
desert 1
deserted 1
diplomacy 1
disillusioned 1
do 1
doing 1
during 1
dying 1
economically 1
efforts 1
encourage 1
ends 1
enemies 2
enemy 2
escapes 2
etiquette 1
europe 2
european 2
europes 1
eventually 1
exile 1
falls 1
faster 1
father 2
fathers 1
few 1
fibs 1
fight 1
first 1
for 4
freedom 1
from 3
gaol 1
go 2
goes 2
goods 1
has 1
he 14
her 2
here 1
heroine 1
herself 1
hides 2
him 5
his 24
how 1
however 3
humour 1
hunts 1
identity 1
implemented 1
in 7
interpret 1
into 2
invade 1
is 10
island 2
it 1
kidnapped 1
kills 1
king 5
kingdom 5
kingdoms 1
kings 2
klu 5
klus 1
land 1
later 1
learn 2
learns 3
lies 1
life 1
like 1
little 1
loses 1
love 1
make 1
making 1
manner 1
matty 8
mattyand 1
mattys 4
maudlin 1
maximum 1
messages 1
model 1
much 1
must 1
napoleon 1
nearly 1
neighboring 1
neighbours 1
of 9
on 2
order 1
other 1
paragraphs 1
partition 2
peer 1
people 1
peoples 1
political 2
politics 1
postal 1
pressure 1
prevent 1
prevents 1
princess 2
prison 1
protect 1
provide 1
rabid 1
rat 1
reaches 1
references 1
reform 2
reforms 1
refuse 1
regains 1
relies 1
renegotiates 1
rescued 1
rescues 1
role 1
romantic 1
saves 2
saving 1
school 1
secretly 1
security 1
selfanalysis 1
selfconfidence 1
sentence 1
she 3
ships 1
smuggles 1
so 2
some 2
story 2
strongest 1
succeeds 2
sustainable 1
swimming 1
take 1
taught 1
telling 1
temper 1
that 4
the 20
them 1
then 2
there 1
they 1
third 1
this 2
three 2
thus 1
time 1
to 19
travel 1
treaty 2
try 1
turns 1
two 1
tyranny 1
until 1
urgent 1
uses 1
vanquished 1
vanquishing 1
victim 1
wants 1
war 3
warrior 1
warriors 1
were 1
what 2
when 1
where 2
whites 1
who 3
wins 1
witchdoctors 1
with 6
wolf 1
women 1
worst 3
