5874638
/m/0466pfn
/m/0466pfn
Piers Anthony
1988-11
25 1
a 23
able 1
about 2
accidentally 1
act 1
actually 1
adept 1
admits 1
adopted 1
advantage 1
after 3
against 1
age 1
agreement 1
agrees 1
ahead 1
all 3
allied 1
also 2
alternately 1
amazing 1
an 3
and 28
andor 1
any 1
appearance 1
approached 1
archangel 1
are 5
arms 1
arrives 2
as 18
asking 2
asks 1
assume 1
at 5
attack 1
attacked 1
attacks 1
attempted 1
attention 1
automatically 1
back 1
bad 1
balance 1
bargain 1
battle 1
be 4
became 1
because 3
become 1
becomes 3
been 1
before 4
begin 2
being 3
believe 2
belong 2
belonged 1
benefits 1
best 2
better 1
binds 1
bird 1
blessing 1
bliss 1
blood 2
body 3
book 1
books 2
both 1
bride 1
broken 1
busy 1
but 9
by 9
called 1
campaign 1
can 3
cannot 2
captain 1
capture 1
case 1
causes 1
causing 1
celibacy 2
centuries 1
check 1
child 1
children 1
chooses 1
christianity 1
chronos 4
circumstances 1
claim 1
claimed 1
claims 1
coinhabiting 1
come 2
comes 1
conjunction 1
consummate 1
contemplating 1
convinces 1
corrupt 3
corrupts 1
could 2
counterattack 1
court 1
courtship 1
create 1
cruel 1
crusaders 2
daughter 1
death 1
deathbed 1
decides 1
defeat 3
defeated 1
demoness 1
depressed 1
desire 3
despite 2
destroy 1
destroys 1
destruction 1
determine 1
didnt 1
dies 1
different 1
discovers 1
do 1
doctrine 1
does 2
dominicans 1
drop 2
due 2
during 1
duties 1
dying 2
earth 3
encouraged 1
end 2
enemies 1
enemy 1
escape 1
escapes 1
even 1
eventually 4
everyone 1
evil 15
expect 1
explained 1
explains 1
express 1
facilitate 1
fact 1
faith 1
fall 1
far 1
fate 1
father 5
favor 1
feared 1
feelings 1
figure 1
finds 1
fit 1
following 1
footsteps 1
for 6
form 3
formed 1
forth 1
found 1
franciscan 1
frees 1
friends 1
friendship 1
from 5
fulfilling 1
function 1
gabriel 1
gaea 4
gets 1
ghostly 1
give 1
go 2
god 5
goes 1
going 1
gone 1
good 5
grace 1
grandchildren 1
greatness 1
guard 1
guilt 1
had 4
hadnt 1
happening 1
happy 1
harm 1
has 1
have 1
he 22
heal 1
heart 1
heaven 3
hell 3
help 2
her 15
heresy 1
hidden 1
hide 1
him 14
himself 2
his 33
holders 1
holocaust 1
honor 1
hope 1
horse 1
hostile 1
how 2
humiliated 1
identity 2
if 4
immediately 1
immune 1
in 31
incarnation 7
incarnations 9
individual 2
influential 1
inhabiting 1
initially 1
inquisition 1
inquisitor 1
instead 1
intense 1
interfere 1
into 1
ironic 1
is 19
it 6
itself 1
jews 1
jhvh 1
joining 1
joins 1
jolie 11
kaftanmdashmeaning 1
keen 1
killed 1
known 1
lacking 1
last 2
later 3
lays 1
leads 1
led 1
life 2
like 1
lilah 8
lilith 1
live 1
long 1
love 2
loves 2
lucifer 8
magic 2
magical 3
magician 1
manages 3
many 2
marriage 1
marry 3
mars 1
means 2
medical 1
meet 1
meets 1
mind 1
moments 1
monastery 1
monks 1
more 1
mortal 2
most 3
murderer 1
murderrapist 1
musician 1
must 1
name 2
named 1
natasha 1
naturally 1
nearly 1
necessary 2
needs 1
nefarious 1
new 2
next 1
night 1
niobe 2
no 5
not 7
oath 2
obviously 1
occasionally 1
of 43
off 2
offered 1
office 8
officeholders 1
offices 1
on 7
one 5
only 2
oppose 1
opposed 1
or 3
orb 6
order 3
orphan 1
other 6
others 1
out 4
over 1
own 2
parents 1
parry 48
part 1
pay 1
person 3
personal 1
physical 1
place 2
plain 1
plan 1
plans 1
pleasure 1
point 1
posing 1
position 1
possesses 1
potential 1
powers 3
predetermined 1
prefer 1
prevent 1
previous 1
prior 1
prisoner 1
process 1
promise 1
prowess 1
purpose 1
qualified 1
quest 1
rage 1
ragged 1
rape 1
rapist 1
rather 2
realize 1
reasons 1
rebuffed 1
reclaims 1
relief 1
request 1
requests 1
resided 1
respect 1
resumes 1
retribution 1
reveals 1
rooting 1
sadism 1
sanctuary 1
satan 1
save 1
saving 1
scenes 1
second 1
secrecy 1
secret 1
seeing 1
seeks 1
selects 1
sends 1
sense 1
separate 1
series 1
several 2
severely 1
sexual 1
she 6
shelter 2
shift 1
shortly 1
shown 1
sight 2
simply 1
since 2
singing 2
six 1
slain 1
slated 1
so 5
soon 1
sorcerer 1
sort 1
soul 1
souls 4
special 1
spell 1
spend 1
spirit 3
start 1
still 2
stop 1
strapped 1
strength 1
strikes 1
successful 1
successor 1
successors 1
succumbs 2
suddenly 1
suffering 1
supplies 1
surprises 1
take 4
taken 3
takes 2
taking 3
talents 1
teach 1
teaches 1
tells 2
temptation 1
than 1
thanatos 2
that 17
the 71
their 3
them 2
then 1
there 1
these 1
they 5
thinks 1
this 3
though 1
thus 2
time 2
to 75
toehold 1
together 1
told 1
too 1
town 1
traditional 1
traditionally 1
transformed 1
tries 1
trips 1
true 1
truly 1
truth 1
two 1
unable 1
understanding 1
undo 1
unfortunately 1
unique 1
unnecessary 1
up 1
upon 2
used 1
uses 1
using 2
vacate 1
vengeance 1
vestige 1
view 1
villagers 1
violating 1
vowing 1
wait 1
wanting 2
wants 1
warn 1
was 9
watches 1
way 2
ways 1
weakened 1
weaker 1
wed 1
wedding 1
well 3
what 1
when 3
whether 1
which 5
while 1
white 2
who 5
wife 5
win 1
wish 1
with 16
wits 1
wizard 1
wizardry 1
work 1
working 1
works 1
world 3
would 2
wounds 1
wrist 2
yhwh 1
