30875107
/m/04y01c
/m/04y01c
Roger Zelazny
1965-10
4 1
a 12
about 1
actions 2
actually 1
after 1
against 1
aided 1
alien 1
aliens 1
alive 1
along 1
an 4
and 6
another 1
appears 2
are 1
around 1
as 3
at 1
attempts 1
backwards 1
battle 1
be 1
been 3
being 3
beloved 1
blow 1
blueskinned 1
but 1
by 6
can 1
cataclysm 1
charged 1
comradeinarms 1
confounded 1
conrad 12
construction 1
decides 1
decisive 1
deconstruction 1
deliver 1
destroy 1
devastated 1
disposition 1
do 1
down 1
earth 9
earthlings 1
egypt 1
end 1
escorting 1
eventually 1
explains 1
fall 1
fiber 1
fighting 1
film 1
filmed 1
final 2
find 2
finds 3
first 1
friend 1
given 1
group 1
hands 1
has 2
having 1
he 6
hed 2
himself 3
his 3
horrified 1
immortal 1
importantmdashbut 1
in 5
includes 1
influential 1
into 1
is 14
it 3
keeping 1
killed 1
knows 1
leave 1
life 1
lifeforms 1
location 1
longevity 1
lover 1
made 2
makes 1
man 2
mettle 1
million 1
moral 1
more 1
much 1
must 1
mutated 1
narrator 1
natural 1
neither 1
nomikos 1
not 1
now 3
nuclear 1
of 18
old 5
on 1
one 3
only 1
ostensibly 1
others 1
out 1
overrun 1
own 1
owned 1
owner 1
past 1
person 1
pitted 1
planet 5
population 1
possession 1
power 1
process 1
protect 3
protector 1
pyramids 3
race 1
rather 3
realize 1
rebels 2
refuse 1
reluctant 1
revealed 1
riches 1
ruins 1
run 1
saving 1
see 4
sees 1
show 1
sights 1
simulate 1
so 1
sons 1
subjugators 1
such 1
suddenly 1
talk 1
task 1
than 1
that 11
the 38
them 1
there 1
this 1
through 1
to 10
torn 1
tourist 2
turn 1
understand 1
variety 1
vegan 7
vegans 2
visitor 1
want 1
war 1
way 2
well 1
when 2
which 1
who 2
whom 1
why 2
wife 2
will 1
with 4
worse 1
would 2
