10988767
/m/02qxd5t
/m/02qxd5t
Michelle Cliff
1987-07
160 1
a 34
able 1
about 3
after 8
aftereffects 1
aggression 1
aimed 1
alive 1
all 2
alleys 1
allowed 1
alluded 1
alone 2
america 1
american 3
among 1
an 2
ancestors 1
and 44
ankle 1
another 1
answers 1
apparent 1
are 3
around 2
arrested 1
arrival 1
arrives 1
arriving 1
art 1
as 6
ask 1
assault 1
at 7
attack 1
attempts 1
attends 1
aunt 1
away 1
back 3
bar 1
bath 1
bathe 1
be 2
beach 1
because 1
become 1
becomes 6
been 3
before 4
begin 1
begins 2
behalf 1
believe 1
benefits 1
best 1
biracial 1
black 2
bobby 3
bodies 1
book 2
bookshops 1
borrows 1
boy 6
browsing 1
burials 1
buried 1
burned 1
but 7
by 7
campus 1
can 2
car 1
category 1
catholic 1
change 1
chapter 4
children 2
christopher 8
city 2
civil 1
clandestine 1
clare 21
clares 7
cockpit 1
college 2
colony 1
come 2
comes 1
coming 1
committed 1
condition 1
conditions 2
connects 1
consider 1
constant 1
continues 1
convince 2
convinces 1
could 1
countries 1
country 2
countryside 1
crew 2
crime 1
cruel 1
crying 1
current 1
customers 1
day 1
de 1
dealing 1
death 1
decide 1
decides 3
deeply 1
deliveredmessages 1
denied 1
departure 1
depression 1
desire 2
despite 2
develop 1
died 1
differently 1
difficult 1
disappears 1
discovers 1
discussing 1
display 1
disturbed 2
do 1
documentary 1
does 1
driving 1
earlier 1
economic 1
efforts 1
either 1
employed 1
employer 1
encounters 1
end 1
ends 1
england 4
enlists 1
enrolls 1
ensues 1
europe 2
evening 1
eventually 3
ever 1
experiences 1
explain 1
extolled 1
fact 1
family 6
farm 1
father 2
fatherto 1
favor 1
fed 1
feeling 1
figures 1
film 1
final 2
finally 1
find 3
finds 2
fire 1
first 3
five 1
flashback 1
food 1
for 12
former 1
fredrick 1
friend 1
friends 2
from 8
front 1
galleonthemed 1
ganja 1
garvey 1
generally 1
genuine 1
georgia 1
get 1
gets 1
getting 1
ghettos 1
girls 1
go 1
goes 1
gone 1
good 1
grace 1
grandfather 1
grandmother 2
grandmothers 2
group 2
grow 1
guerilla 1
h 2
halfbrotherhalfsister 1
happened 1
happy 1
harryharriet 7
harryharrieta 1
has 11
have 4
he 9
heal 1
held 1
help 4
her 32
herself 2
hierarchies 1
him 3
hired 1
his 11
history 2
home 4
horrific 1
house 1
ill 1
immigrating 1
in 31
including 1
increasingly 2
infection 1
initially 1
innkeeper 2
intelligence 1
interrogated 1
into 1
invitation 1
is 22
isolated 1
it 2
jamaica 11
jamaicaa 1
jamaicas 1
jennie 3
job 1
join 2
justification 1
keep 1
killed 1
kills 1
kindness 1
kingston 3
kingstona 1
kingstons 1
kitty 5
kittys 1
know 1
known 2
land 1
late 1
later 1
laundry 1
learn 3
learns 1
leave 4
leaves 1
leaving 1
left 1
legal 1
letter 2
letters 2
life 1
likely 1
linens 1
live 1
living 1
liz 1
london 3
lonely 1
long 1
lungs 1
machete 1
mad 1
make 3
many 1
march 1
marcus 1
maroons 1
mattie 1
meets 2
mendicant 1
mentally 1
messages 1
meta 1
miami 2
miss 1
money 1
most 1
motel 1
mother 4
mothers 1
motives 1
moves 1
movie 1
movies 1
moving 2
much 1
murdered 1
murders 1
museums 1
national 1
never 1
new 2
next 1
night 2
nine 1
nor 1
north 1
not 5
novel 1
now 1
nowhere 1
of 27
office 1
old 2
older 1
on 8
once 2
one 5
oppressed 2
or 2
orphan 1
out 2
owned 2
parents 2
part 1
party 2
paul 5
pauls 4
people 1
periods 1
physically 1
piece 1
place 1
plantations 1
play 1
poor 1
prophecies 1
prophet 1
purchases 1
quiet 1
racial 1
racism 2
recalls 1
receives 1
recovers 1
reggae 1
relatives 1
remembers 1
remote 1
rent 1
resident 1
resolves 1
restthat 1
return 3
returns 3
revolution 1
revolutionaries 2
revolutionary 1
right 1
river 1
role 1
room 3
same 1
savage 3
scene 2
school 5
second 1
see 1
segregated 1
servant 1
servants 1
set 1
she 20
shifts 1
shouting 1
shows 1
side 1
since 1
sister 4
slip 1
small 3
so 4
social 1
sold 1
soldiers 2
some 3
someone 1
song 1
sophomore 1
sort 1
spanish 1
spending 1
spends 1
spirit 1
started 1
states 1
stay 1
stays 1
sterile 1
still 2
story 2
struggling 1
student 1
studentsa 1
study 1
stumbles 1
subject 1
such 1
suggests 1
suspects 1
take 1
takes 4
taking 1
taught 1
teacher 1
telling 2
tells 2
tenement 1
terrible 1
than 1
that 22
the 64
their 2
them 6
then 4
there 2
they 6
third 2
this 1
through 2
throughout 1
time 7
to 45
together 2
told 2
took 1
top 1
touch 1
towards 1
tragedy 1
train 1
transsexual 1
travel 3
traveling 3
travels 2
tries 2
truck 1
twenty 1
two 3
ultimate 1
uncle 3
united 1
university 2
until 1
up 6
upon 5
used 2
various 1
veteran 1
via 1
vietnam 1
visiting 2
waiting 1
waits 1
wander 1
war 3
warning 1
was 4
watches 1
watchman 2
way 1
we 3
well 1
went 1
what 1
whatever 1
when 5
where 5
while 3
white 5
who 4
whose 1
why 1
will 4
wind 1
winston 1
with 14
without 1
witnesses 1
womb 1
women 1
work 1
worked 1
world 2
wound 1
year 1
years 2
yet 1
york 2
younger 2
