10547094
/m/02qhfpm
/m/02qhfpm
Francis Beaumont

a 10
able 1
accepts 1
accusation 1
affair 2
affections 1
against 1
alternative 1
an 2
and 16
arcadia 1
are 3
arethusa 9
arrested 1
as 3
be 2
bears 1
beaumont 1
because 1
bellario 3
both 2
but 3
by 7
cannot 1
capture 1
causes 1
citizens 1
confronts 1
conquered 1
contemporaneous 1
countryman 1
court 3
courtier 1
crawls 1
creating 1
crown 1
custody 1
cymbeline 1
daughter 2
death 2
deceived 1
decree 1
discovered 1
disdains 1
disguised 1
displaced 1
during 1
especially 1
eufrasia 1
executions 1
exposed 1
exposing 1
faithful 1
falsehood 1
fatal 1
father 2
fears 1
female 1
fictionalized 1
fight 1
fletcher 1
found 1
frustrate 1
frustrated 1
gentlewoman 1
gives 1
had 1
has 1
having 1
he 1
heir 2
her 3
him 4
his 5
hold 1
hostage 1
house 2
however 2
hunt 1
in 5
incident 1
including 1
infatuated 1
influenced 1
intermediary 1
interrupted 1
is 14
island 1
it 1
italy 1
its 1
itself 1
kill 1
king 8
kingdom 2
lives 1
loose 1
love 1
loyalty 1
make 1
marries 1
marry 1
megra 1
men 1
named 1
naples 1
native 1
no 2
nobleman 1
nobles 1
not 1
now 1
of 16
off 1
otherwiseunnamed 1
overwrought 1
own 1
page 1
passing 1
passionate 2
people 1
pharamond 5
philaster 12
philip 1
places 1
plan 2
play 4
predecessor 1
presents 1
prince 1
princess 2
protagonist 1
quickly 1
range 1
rebellious 1
reciprocates 1
recover 1
relationships 1
reports 1
restored 1
retreats 1
revealed 1
revenge 1
rightful 2
royal 2
ruled 1
ruler 2
seeks 1
sends 1
sentenced 1
serve 1
set 1
she 2
shepherdess 1
sicily 4
sidney 1
since 1
sir 1
slander 1
son 2
southern 1
spain 1
spaniard 3
spanish 1
spreading 1
stabs 1
subtitle 1
that 3
the 36
their 1
they 1
this 1
to 9
true 1
version 1
well 1
were 1
when 2
which 1
who 1
will 1
with 6
works 2
wounded 1
wounds 1
