23648471
/m/06zkpd_
/m/06zkpd_
Anthony Trollope

a 5
above 1
acknowledging 1
agreeing 1
an 4
and 8
any 2
arrives 1
as 1
asylum 1
at 1
attacks 1
baby 1
back 2
background 1
backwards 1
barracks 1
beautiful 1
between 1
brother 1
but 1
by 1
carrying 1
cavalry 1
circumstances 1
cliff 1
cliffs 2
climax 1
confront 1
confronted 1
cottage 2
countess 1
daughter 3
death 1
demanding 1
despite 1
died 1
dorsetshire 1
driving 1
earl 4
earldom 2
edge 1
endlessly 1
english 1
entanglement 1
evening 1
extracts 1
eye 2
falls 1
firm 1
for 3
fred 8
frenzied 1
genteel 1
girl 1
has 3
he 5
heir 1
her 7
him 1
his 3
in 6
incarceration 1
inherits 1
insane 1
instantly 1
intends 1
into 1
ireland 2
is 7
isolated 1
it 1
jack 1
kate 6
killed 1
know 1
law 1
lieutenant 1
lives 1
lord 1
loves 1
made 2
make 2
man 1
manor 1
marriage 1
marry 2
mental 1
moher 1
mother 1
mrs 5
near 1
neville 1
nevilles 1
news 1
not 2
novel 1
now 1
of 8
ohara 7
oharas 1
old 1
on 1
once 1
out 1
over 1
pays 1
place 1
poverty 1
promises 2
question 1
quickly 1
quite 1
reaches 1
realizes 1
realizing 1
refuses 1
repeats 1
resolves 1
romantic 1
scroope 4
seduces 1
shamed 1
she 3
society 1
steadfastly 1
summoned 1
takes 1
that 5
the 21
then 1
to 11
tooth 2
unacceptable 1
under 1
undertaking 1
unfortunate 1
visit 1
western 1
when 1
where 2
whilst 1
who 1
will 1
with 1
woos 1
word 1
words 1
would 1
young 1
