18657203
/m/04gs4xh
/m/04gs4xh
Arthur Wilson

a 18
about 1
action 1
actual 1
actually 1
ad 1
advance 1
advises 1
affair 1
affection 1
after 1
alcidonus 3
allows 1
also 1
amoral 1
an 4
and 33
andrucho 8
andruchoaribert 1
angry 1
another 1
antharis 5
anticipating 1
apart 1
appoints 1
are 8
aribert 3
arioldus 17
army 2
arranging 1
arrives 1
arriving 1
as 5
asprandus 1
assassination 1
assuring 1
at 4
attempt 1
attempts 1
attend 1
away 2
back 1
bandog 1
banished 2
banishment 2
bases 1
bastard 1
battlefield 1
be 2
beauty 1
becomes 1
before 1
begin 1
being 1
believing 1
between 2
bodies 1
books 1
both 1
broad 1
but 6
by 6
called 1
calls 1
captive 2
case 1
century 1
change 1
character 1
characters 1
children 1
clandestine 1
clearly 1
clephis 5
climbs 2
clown 1
coffin 2
comes 3
commander 1
commands 1
comments 1
common 1
conceal 1
concludes 1
conflict 1
confront 1
consciousness 1
consequences 1
conversation 1
convince 1
counterattack 1
country 1
courage 1
court 3
courtier 1
courtiers 6
courtly 1
cowardly 1
crime 1
critically 1
criticize 1
cry 1
cynical 1
damage 1
daughter 2
dead 1
deception 1
decide 1
defeat 1
defeated 1
delineate 1
demand 1
demands 1
distressing 1
does 1
done 1
drama 1
driven 1
drunkenness 1
each 1
early 2
eavesdropping 1
empty 1
ending 1
enters 1
estate 1
eugenia 2
eurinia 4
even 1
faces 1
fact 1
factions 1
faints 1
faked 1
false 1
fathers 1
fear 1
female 1
fight 2
figures 1
fleeing 1
focus 2
for 2
forces 2
form 1
found 1
from 4
functions 1
gains 1
general 2
giant 1
glad 1
gossip 1
guilty 1
had 1
halfbrother 1
happy 1
has 1
he 9
her 6
hide 1
him 6
his 14
historical 1
honor 2
honorable 1
hotblooded 1
house 1
humor 1
ignorant 1
in 12
incest 1
including 1
interrupts 1
into 2
invisible 1
invulnerable 1
is 12
iseas 1
issue 1
its 2
jester 1
kills 1
king 16
large 1
later 1
lead 1
learns 1
lie 1
like 1
limited 1
little 1
live 1
lives 1
lombard 3
lombards 1
lombardy 1
love 1
loved 1
lovers 4
loyalty 1
mad 1
made 1
man 1
manipulate 1
marriage 2
married 1
marries 1
marry 1
matters 1
mdash 3
meet 1
meeting 1
meets 1
men 1
mercenary 2
mob 1
more 1
news 1
nobleman 2
not 2
now 1
oath 1
observes 1
of 18
offers 1
offstage 1
old 2
on 2
only 1
opens 1
opposed 1
opposition 1
other 2
out 2
over 3
own 1
panopia 3
pardon 1
parental 1
particular 1
penitent 1
personal 1
play 4
poison 2
positive 1
potion 1
prevents 1
previously 1
princess 1
protects 1
providing 1
prudent 1
pursued 1
quick 1
quickly 1
rally 1
rapes 1
ravenna 2
recover 1
recovers 1
redeemed 1
rejects 1
reminds 1
repair 1
repairing 1
replace 1
requisite 1
resists 1
resolution 1
respectively 1
restraint 1
retirement 1
revealed 2
reveals 1
revelation 1
reverses 1
revitalized 1
rivals 1
royal 1
scene 2
scenes 1
second 1
secretly 1
seduce 1
selfinterested 1
selina 3
separated 1
set 1
seventh 1
share 1
she 2
shield 1
shows 1
sister 1
sleeping 1
soldier 1
soldiers 1
something 1
son 2
speak 1
squelch 1
stand 1
strongly 1
substitute 1
suddenly 1
suicide 1
support 1
sure 1
surprised 1
swiss 3
taken 1
telling 1
that 6
the 62
their 8
them 3
themselves 2
they 2
this 2
though 2
thought 2
through 1
timentes 7
title 1
to 17
tragicomic 1
tries 2
troops 3
trouble 1
two 4
unsubtle 1
until 1
up 1
upon 2
vial 1
victory 2
virtue 1
virtuous 1
visit 1
wants 1
was 2
way 2
what 1
when 2
which 1
wind 1
wins 1
with 6
years 1
yielding 1
young 2
