3685616
/m/09vc7j
/m/09vc7j
Margaret Atwood
2005-10-11
21st 1
a 2
absence 1
absentminded 1
addresses 1
admitted 1
affectionate 1
after 3
aftermath 1
afterwards 1
all 1
allowing 1
alone 1
already 1
amphinomus 1
an 2
and 22
announced 1
anticleia 1
apart 1
appearance 1
as 5
at 2
attempting 1
avoid 1
back 2
became 2
behind 1
being 2
believed 1
between 1
birth 2
blame 1
blames 1
both 1
broke 1
but 4
by 3
called 1
century 1
challenging 1
chapters 1
child 1
childhood 1
comments 1
condemned 1
consequently 1
consuming 1
contest 1
contrast 1
controlling 1
convinced 1
couple 1
court 1
critical 1
dealing 1
decided 1
decision 1
denied 1
despite 1
developed 1
die 1
disguise 1
dispels 1
dream 1
during 2
each 1
enlisted 1
eurycleia 3
even 1
eventually 2
execute 1
expresses 1
family 1
father 1
fatherinlaws 1
feared 1
fifteen 1
finished 1
fools 1
for 4
freedom 1
friendly 1
from 2
gave 1
growing 1
had 1
hades 3
hanged 1
happy 1
haunt 1
have 2
he 3
helen 2
help 1
helped 1
her 18
him 3
hindsight 1
his 6
historical 1
home 1
husbands 1
identifies 1
identity 1
if 3
immediately 1
in 10
increasing 1
instructed 2
interested 1
into 1
is 2
issue 1
ithaca 3
journey 1
judged 1
kill 1
killed 1
kingdom 4
knew 1
lament 1
league 1
leaving 1
lesser 1
liar 1
life 4
like 1
liked 1
lives 1
long 1
look 1
loving 1
maids 6
make 1
making 1
man 1
marriage 2
married 1
marry 2
massacred 1
misconceptions 1
mocked 1
more 1
most 1
mother 2
moved 1
moving 1
much 1
murder 1
narrating 1
narrative 1
negligent 1
neither 1
new 1
news 1
night 1
no 1
nor 1
not 2
novella 1
number 1
nurse 1
odysseus 12
of 13
offer 1
often 1
on 6
once 1
opinions 1
or 1
other 1
outright 1
overly 1
pan 1
parents 2
patronising 1
penelope 16
penelopes 1
people 2
playtime 1
pointofview 1
possibility 1
pressured 1
princesses 1
raise 1
reached 1
recalls 1
recaps 1
recognised 1
relationship 1
remained 1
resources 1
return 1
returned 1
returning 1
reveal 1
rigged 1
role 1
ruining 1
rumour 2
rumours 1
run 1
settle 1
several 1
she 12
short 1
shortly 1
shroud 2
silent 1
sing 1
slaves 1
slept 3
so 2
some 1
son 1
sparta 1
speak 1
specialty 1
sporadically 1
spy 1
stalled 1
stature 1
stories 2
suitor 1
suitors 7
survived 1
sympathy 1
telemachus 4
than 1
that 4
the 24
their 6
them 4
they 6
those 1
though 1
time 1
to 14
told 1
topics 1
tradition 1
traitors 1
twelve 3
unjustly 1
unravel 1
violence 1
war 2
was 6
wasting 1
were 4
which 3
while 1
who 2
whom 1
why 1
with 9
wonder 1
wonders 1
would 4
young 1
