21048471
/m/05b1td1
/m/05b1td1
Noel Streatfeild
1944
a 2
academy 1
acting 1
actress 1
after 2
against 1
also 2
although 1
an 1
and 10
another 1
as 3
at 4
ballet 1
be 1
blood 1
book 1
careers 1
children 4
clear 1
communicate 1
cousin 1
cover 1
curtain 1
czechoslovakia 1
dancer 1
dancing 2
decides 1
dies 1
discover 1
due 1
during 1
each 2
exceptionally 1
exchange 1
expenses 1
father 2
for 2
forbes 4
fossil 3
from 2
girl 1
girls 1
go 1
grandfather 1
grandmother 1
had 2
have 1
her 2
herself 1
his 1
holly 4
hollywood 1
however 1
impressions 1
in 3
instead 1
involves 1
is 3
it 1
knew 1
learn 1
leave 1
letters 2
live 1
london 1
made 1
mark 3
miriam 2
missing 1
mother 1
much 1
never 1
of 3
on 1
pauline 2
petrova 1
posy 4
provides 1
recounts 1
reported 1
retired 1
scholarship 1
school 2
sends 1
she 1
shines 1
shoes 1
shows 1
siblings 1
side 1
singing 1
sisters 1
sorrel 3
sponsor 1
sponsors 1
stage 2
story 1
streatfeild 1
student 1
talented 1
talents 1
teacher 1
that 2
the 13
their 6
them 1
themselves 1
these 1
they 3
three 1
to 8
training 1
up 1
war 2
we 1
well 1
when 1
widowed 1
will 1
with 5
