199491
/m/01cb4s
/m/01cb4s
Arthur Miller


31 1
a 19
abigail 22
about 2
accusation 1
accusations 1
accuse 1
accused 5
accuses 3
accusing 1
acquired 1
act 1
activities 1
added 1
additional 1
admitted 1
adultery 1
advises 1
advising 1
affair 5
afflicted 1
afraid 1
after 1
against 2
ailments 1
all 3
almost 1
alone 4
already 1
also 6
an 6
and 55
angrily 1
angry 2
any 3
anything 1
apparently 2
appendix 1
are 7
arent 1
argument 1
arrest 1
arrested 2
arrive 2
as 6
ask 1
asks 4
at 2
attack 1
attempt 1
attempts 1
attendance 1
authorities 1
awake 1
back 1
barbados 1
be 2
beating 1
because 9
become 1
becomes 2
bed 2
been 8
before 1
begin 2
begins 1
being 7
believed 1
believes 4
betty 7
between 2
beverly 1
bewitched 1
bird 1
boarded 1
book 1
books 1
boston 1
both 2
broken 1
brought 1
but 7
by 5
calls 2
can 1
cannot 1
chained 1
chance 1
cheever 5
children 1
chooses 1
church 2
claim 1
claims 1
clear 1
cold 1
come 1
commandment 1
commandments 1
condemning 1
confess 4
confessed 1
confession 2
continues 1
control 1
conversations 1
convince 1
corey 10
couple 1
court 18
courtroom 1
cry 1
custody 2
daft 1
danforth 5
dare 1
daughter 1
day 4
death 1
declares 2
defended 1
denies 3
denounce 1
deputy 1
devil 2
dinner 1
discovered 1
discovers 1
discredit 1
dismissed 1
do 1
does 1
doing 1
doll 1
doubts 1
during 1
duties 1
eager 1
eating 1
elizabeth 21
engaged 2
ensues 1
enter 1
enters 4
even 1
every 1
everyone 1
evidence 1
exactly 1
exchange 1
executed 1
exists 1
expert 1
explains 3
eyeing 1
ezekiel 1
fails 1
failure 1
fainted 2
faith 2
fears 3
feelings 1
find 2
first 1
fishy 1
for 10
forbidden 1
forbidding 1
forced 1
forest 1
forgives 1
former 1
forms 1
francis 2
freed 1
freezing 1
from 8
furious 1
gallows 1
gets 1
giles 5
girls 9
gives 1
god 3
going 2
gone 2
good 1
goodwives 1
goody 1
governor 1
had 4
hale 11
half 1
hang 2
hanged 2
happens 1
has 13
hathorne 5
have 4
having 1
he 16
hear 1
her 17
heretical 1
herself 2
him 11
his 14
holding 1
house 2
housemaid 1
how 1
however 2
husband 1
i 1
if 6
in 29
incident 1
including 1
inside 2
insist 1
interrupts 1
into 3
is 24
isnt 1
isolated 1
it 7
jail 2
john 6
judge 3
know 1
knowing 1
knowledge 1
knows 1
land 2
large 1
late 1
league 1
learning 1
leave 1
led 2
lewis 1
lies 3
life 1
liked 1
list 1
live 1
look 1
love 1
loyal 1
made 3
man 1
many 2
marrying 1
martha 5
mary 15
meets 1
men 1
mentioned 1
mercy 1
midst 1
mistake 1
modicum 1
most 1
must 2
nail 1
name 1
named 2
names 1
nearby 1
needle 3
never 1
news 1
next 1
niece 1
night 1
no 2
not 7
now 4
nurse 5
occult 1
of 34
official 2
offstage 1
on 2
one 1
only 1
orders 1
original 1
osborne 1
osburn 1
other 3
others 2
otherwise 1
out 8
outside 1
over 1
overjoyed 1
owns 1
panic 1
parris 9
people 3
phenomena 1
place 1
play 2
pointing 1
poor 1
poppet 2
pounds 1
power 1
praying 2
pressed 1
pretend 1
previous 1
previously 1
prisoners 2
proceedings 2
proctor 34
production 1
productions 1
professes 2
promising 1
proof 1
prove 1
putnam 2
quantity 1
question 1
questioning 1
questions 4
reaching 1
reading 1
reaffirms 1
realizing 1
rebecca 2
recite 1
recovered 1
regarding 1
remains 1
reminds 1
removed 2
replies 2
research 1
responsible 1
resuming 1
returns 1
rev 2
reveal 2
revealed 1
reveals 1
reverend 6
right 1
roarin 1
room 3
ruin 1
rumors 1
said 1
salary 1
salem 3
salemites 1
sarah 1
sat 1
save 1
saw 1
saying 1
scene 1
scream 1
screamed 1
second 1
seduce 1
see 2
seen 2
selfproclaimed 1
send 1
sent 1
several 1
she 21
ship 1
shouting 1
signed 1
signs 1
since 1
sing 1
situation 1
skeptical 1
slave 1
so 1
solid 1
soon 1
speak 1
spends 1
spirit 1
spirits 2
stabbed 1
stabbing 1
states 3
still 2
stole 1
stored 1
storms 1
stuck 1
subsequent 1
such 1
summoned 1
take 1
taken 1
takes 1
talked 1
tears 1
tell 2
telling 2
tells 13
ten 1
tenth 1
testify 3
that 43
the 66
their 4
them 4
then 3
there 4
thereafter 1
these 1
they 6
thinks 1
thirtynine 1
this 4
thomas 1
threatened 1
timber 1
time 2
tituba 3
to 55
told 1
took 1
totally 1
townspeople 1
tries 1
truth 1
try 1
turn 1
turned 1
two 1
unconscious 1
up 3
upon 1
upset 1
use 1
utter 1
verify 1
vestry 3
village 1
visit 1
visits 1
wall 1
wants 1
warrant 1
warren 2
was 5
were 4
what 2
when 7
whereupon 1
which 5
while 2
who 6
whom 1
whore 1
wife 5
will 5
willardherrick 2
williams 1
win 1
witch 2
witchcraft 11
witches 1
with 12
without 1
wives 1
woods 1
work 1
written 1
yearly 1
yellow 1
yet 2
you 2
